t,x,y,heading,turret_yaw,pitch,target_x,target_y,target_z
0.0000,2.0000,0.0000,3.1416,3.1416,0.7424,0.0000,0.0000,1.8300
0.0200,2.0300,0.0000,3.1416,3.1416,0.7369,0.0000,0.0000,1.8300
0.0400,2.0600,0.0000,3.1416,3.1416,0.7315,0.0000,0.0000,1.8300
0.0600,2.0900,0.0000,3.1416,3.1416,0.7261,0.0000,0.0000,1.8300
0.0800,2.1200,0.0000,3.1416,3.1416,0.7208,0.0000,0.0000,1.8300
0.1000,2.1500,0.0000,3.1416,3.1416,0.7156,0.0000,0.0000,1.8300
0.1200,2.1800,0.0000,3.1416,3.1416,0.7104,0.0000,0.0000,1.8300
0.1400,2.2100,0.0000,3.1416,3.1416,0.7053,0.0000,0.0000,1.8300
0.1600,2.2400,0.0000,3.1416,3.1416,0.7002,0.0000,0.0000,1.8300
0.1800,2.2700,0.0000,3.1416,3.1416,0.6952,0.0000,0.0000,1.8300
0.2000,2.3000,0.0000,3.1416,3.1416,0.6903,0.0000,0.0000,1.8300
0.2200,2.3300,0.0000,3.1416,3.1416,0.6854,0.0000,0.0000,1.8300
0.2400,2.3600,0.0000,3.1416,3.1416,0.6806,0.0000,0.0000,1.8300
0.2600,2.3900,0.0000,3.1416,3.1416,0.6758,0.0000,0.0000,1.8300
0.2800,2.4200,0.0000,3.1416,3.1416,0.6711,0.0000,0.0000,1.8300
0.3000,2.4500,0.0000,3.1416,3.1416,0.6664,0.0000,0.0000,1.8300
0.3200,2.4800,0.0000,3.1416,3.1416,0.6618,0.0000,0.0000,1.8300
0.3400,2.5100,0.0000,3.1416,3.1416,0.6572,0.0000,0.0000,1.8300
0.3600,2.5400,0.0000,3.1416,3.1416,0.6527,0.0000,0.0000,1.8300
0.3800,2.5700,0.0000,3.1416,3.1416,0.6482,0.0000,0.0000,1.8300
0.4000,2.6000,0.0000,3.1416,3.1416,0.6439,0.0000,0.0000,1.8300
0.4200,2.6300,0.0000,3.1416,3.1416,0.6395,0.0000,0.0000,1.8300
0.4400,2.6600,0.0000,3.1416,3.1416,0.6352,0.0000,0.0000,1.8300
0.4600,2.6900,0.0000,3.1416,3.1416,0.6309,0.0000,0.0000,1.8300
0.4800,2.7200,0.0000,3.1416,3.1416,0.6267,0.0000,0.0000,1.8300
0.5000,2.7500,0.0000,3.1416,3.1416,0.6225,0.0000,0.0000,1.8300
0.5200,2.7800,0.0000,3.1416,3.1416,0.6184,0.0000,0.0000,1.8300
0.5400,2.8100,0.0000,3.1416,3.1416,0.6143,0.0000,0.0000,1.8300
0.5600,2.8400,0.0000,3.1416,3.1416,0.6103,0.0000,0.0000,1.8300
0.5800,2.8700,0.0000,3.1416,3.1416,0.6063,0.0000,0.0000,1.8300
0.6000,2.9000,0.0000,3.1416,3.1416,0.6024,0.0000,0.0000,1.8300
0.6200,2.9300,0.0000,3.1416,3.1416,0.5984,0.0000,0.0000,1.8300
0.6400,2.9600,0.0000,3.1416,3.1416,0.5946,0.0000,0.0000,1.8300
0.6600,2.9900,0.0000,3.1416,3.1416,0.5908,0.0000,0.0000,1.8300
0.6800,3.0200,0.0000,3.1416,3.1416,0.5870,0.0000,0.0000,1.8300
0.7000,3.0500,0.0000,3.1416,3.1416,0.5833,0.0000,0.0000,1.8300
0.7200,3.0800,0.0000,3.1416,3.1416,0.5796,0.0000,0.0000,1.8300
0.7400,3.1100,0.0000,3.1416,3.1416,0.5759,0.0000,0.0000,1.8300
0.7600,3.1400,0.0000,3.1416,3.1416,0.5723,0.0000,0.0000,1.8300
0.7800,3.1700,0.0000,3.1416,3.1416,0.5687,0.0000,0.0000,1.8300
0.8000,3.2000,0.0000,3.1416,3.1416,0.5652,0.0000,0.0000,1.8300
0.8200,3.2300,0.0000,3.1416,3.1416,0.5617,0.0000,0.0000,1.8300
0.8400,3.2600,0.0000,3.1416,3.1416,0.5582,0.0000,0.0000,1.8300
0.8600,3.2900,0.0000,3.1416,3.1416,0.5548,0.0000,0.0000,1.8300
0.8800,3.3200,0.0000,3.1416,3.1416,0.5514,0.0000,0.0000,1.8300
0.9000,3.3500,0.0000,3.1416,3.1416,0.5480,0.0000,0.0000,1.8300
0.9200,3.3800,0.0000,3.1416,3.1416,0.5447,0.0000,0.0000,1.8300
0.9400,3.4100,0.0000,3.1416,3.1416,0.5414,0.0000,0.0000,1.8300
0.9600,3.4400,0.0000,3.1416,3.1416,0.5382,0.0000,0.0000,1.8300
