time_s,x_m,y_m,yaw_rad,vx_mps,vy_mps,omega_rads
0.0000,3.6213,4.0352,-0.0003,0.0000,-0.0000,0.0000
0.0200,3.6147,4.0390,-0.0049,0.0462,0.0098,-0.0309
0.0400,3.6081,4.0428,-0.0095,0.0863,0.0383,-0.0619
0.0600,3.6015,4.0467,-0.0141,0.1147,0.0831,-0.0928
0.0800,3.5949,4.0505,-0.0187,0.1266,0.1401,-0.1237
0.1000,3.5883,4.0544,-0.0233,0.1185,0.2042,-0.1547
0.1200,3.5817,4.0582,-0.0279,0.0882,0.2692,-0.1856
0.1400,3.5751,4.0621,-0.0325,0.0355,0.3286,-0.2165
0.1600,3.5685,4.0659,-0.0371,-0.0383,0.3758,-0.2475
0.1800,3.5619,4.0698,-0.0417,-0.1299,0.4046,-0.2784
0.2000,3.5553,4.0736,-0.0463,-0.2344,0.4098,-0.3094
0.2200,3.5487,4.0774,-0.0509,-0.3458,0.3874,-0.3403
0.2400,3.5421,4.0813,-0.0555,-0.4568,0.3352,-0.3712
0.2600,3.5337,4.0861,-0.0623,-0.5083,0.2963,-0.3909
0.2800,3.5235,4.0920,-0.0713,-0.5060,0.2934,-0.3993
0.3000,3.5133,4.0978,-0.0803,-0.5038,0.2905,-0.4077
0.3200,3.5031,4.1036,-0.0893,-0.5015,0.2876,-0.4162
0.3400,3.4929,4.1095,-0.0983,-0.4992,0.2847,-0.4246
0.3600,3.4828,4.1153,-0.1073,-0.4969,0.2818,-0.4331
0.3800,3.4726,4.1212,-0.1162,-0.4946,0.2790,-0.4415
0.4000,3.4624,4.1270,-0.1252,-0.4923,0.2761,-0.4499
0.4200,3.4522,4.1328,-0.1342,-0.4899,0.2733,-0.4584
0.4400,3.4420,4.1387,-0.1432,-0.4876,0.2705,-0.4668
0.4600,3.4318,4.1445,-0.1522,-0.4852,0.2677,-0.4753
0.4800,3.4216,4.1504,-0.1612,-0.4829,0.2649,-0.4837
0.5000,3.4115,4.1562,-0.1702,-0.4805,0.2621,-0.4921
0.5200,3.4023,4.1610,-0.1805,-0.4776,0.2578,-0.4982
0.5400,3.3931,4.1657,-0.1907,-0.4746,0.2537,-0.5042
0.5600,3.3839,4.1705,-0.2010,-0.4716,0.2495,-0.5103
0.5800,3.3747,4.1752,-0.2113,-0.4686,0.2454,-0.5163
0.6000,3.3655,4.1800,-0.2216,-0.4655,0.2413,-0.5224
0.6200,3.3563,4.1848,-0.2318,-0.4625,0.2372,-0.5284
0.6400,3.3471,4.1895,-0.2421,-0.4594,0.2332,-0.5345
0.6600,3.3379,4.1943,-0.2524,-0.4562,0.2292,-0.5405
0.6800,3.3287,4.1989,-0.2634,-0.4554,0.2278,-0.5471
0.7000,3.3195,4.2035,-0.2747,-0.4557,0.2276,-0.5540
0.7200,3.3104,4.2081,-0.2860,-0.4560,0.2275,-0.5609
0.7400,3.3012,4.2126,-0.2973,-0.4562,0.2274,-0.5678
0.7600,3.2920,4.2172,-0.3086,-0.4565,0.2273,-0.5747
0.7800,3.2829,4.2218,-0.3199,-0.4568,0.2271,-0.5816
0.8000,3.2738,4.2263,-0.3315,-0.4562,0.2265,-0.5877
0.8200,3.2647,4.2308,-0.3435,-0.4545,0.2253,-0.5927
0.8400,3.2557,4.2353,-0.3555,-0.4528,0.2241,-0.5978
0.8600,3.2466,4.2397,-0.3675,-0.4511,0.2229,-0.6028
0.8800,3.2376,4.2442,-0.3795,-0.4493,0.2217,-0.6079
0.9000,3.2286,4.2487,-0.3915,-0.4476,0.2206,-0.6128
0.9200,3.2197,4.2530,-0.4040,-0.4459,0.2194,-0.6171
0.9400,3.2108,4.2574,-0.4165,-0.4442,0.2182,-0.6214
0.9600,3.2019,4.2618,-0.4289,-0.4425,0.2170,-0.6257
0.9800,3.1931,4.2661,-0.4414,-0.4408,0.2158,-0.6300
1.0000,3.1842,4.2705,-0.4539,-0.4392,0.2147,-0.6342
1.0200,3.1755,4.2747,-0.4668,-0.4382,0.2138,-0.6381
1.0400,3.1668,4.2789,-0.4797,-0.4373,0.2129,-0.6419
1.0600,3.1580,4.2832,-0.4925,-0.4363,0.2120,-0.6457
1.0800,3.1493,4.2874,-0.5054,-0.4353,0.2111,-0.6496
1.1000,3.1406,4.2917,-0.5183,-0.4343,0.2103,-0.6534
1.1200,3.1320,4.2958,-0.5315,-0.4331,0.2095,-0.6562
1.1400,3.1234,4.3000,-0.5448,-0.4319,0.2087,-0.6588
1.1600,3.1147,4.3041,-0.5582,-0.4308,0.2079,-0.6613
1.1800,3.1061,4.3083,-0.5715,-0.4296,0.2071,-0.6639
1.2000,3.0975,4.3124,-0.5848,-0.4284,0.2064,-0.6665
1.2200,3.0889,4.3166,-0.5981,-0.4272,0.2056,-0.6691
1.2400,3.0803,4.3207,-0.6114,-0.4260,0.2048,-0.6716
1.2600,3.0717,4.3249,-0.6248,-0.4249,0.2041,-0.6741
1.2800,3.0632,4.3289,-0.6384,-0.4249,0.2035,-0.6756
1.3000,3.0548,4.3329,-0.6520,-0.4249,0.2030,-0.6771
1.3200,3.0463,4.3369,-0.6655,-0.4249,0.2025,-0.6786
1.3400,3.0379,4.3409,-0.6791,-0.4249,0.2020,-0.6800
1.3600,3.0295,4.3450,-0.6927,-0.4249,0.2014,-0.6815
1.3800,3.0210,4.3490,-0.7063,-0.4249,0.2009,-0.6830
1.4000,3.0126,4.3530,-0.7199,-0.4249,0.2004,-0.6845
1.4200,3.0042,4.3570,-0.7335,-0.4249,0.1998,-0.6860
1.4400,2.9956,4.3610,-0.7472,-0.4251,0.1999,-0.6856
1.4600,2.9870,4.3651,-0.7610,-0.4253,0.2002,-0.6849
1.4800,2.9784,4.3691,-0.7747,-0.4255,0.2004,-0.6842
1.5000,2.9698,4.3731,-0.7884,-0.4257,0.2006,-0.6835
1.5200,2.9612,4.3772,-0.8022,-0.4259,0.2008,-0.6828
1.5400,2.9526,4.3812,-0.8159,-0.4261,0.2010,-0.6821
