time_s,x_m,y_m,yaw_rad,vx_mps,vy_mps,omega_rads
0.0000,6.2170,4.0760,1.5709,-0.0000,0.0000,0.0000
0.0200,6.2174,4.0768,1.5718,0.0427,0.0801,0.0892
0.0400,6.2187,4.0792,1.5745,0.0852,0.1602,0.1783
0.0600,6.2208,4.0832,1.5789,0.1275,0.2405,0.2673
0.0800,6.2238,4.0888,1.5852,0.1693,0.3209,0.3559
0.1000,6.2276,4.0961,1.5932,0.2106,0.4016,0.4443
0.1200,6.2322,4.1049,1.6029,0.2511,0.4825,0.5322
0.1400,6.2376,4.1154,1.6145,0.2907,0.5637,0.6197
0.1600,6.2439,4.1275,1.6277,0.3294,0.6453,0.7065
0.1800,6.2508,4.1412,1.6427,0.3668,0.7273,0.7928
0.2000,6.2585,4.1566,1.6594,0.4030,0.8097,0.8784
0.2200,6.2669,4.1736,1.6779,0.4376,0.8926,0.9632
0.2400,6.2760,4.1923,1.6980,0.4707,0.9759,1.0472
0.2600,6.2857,4.2126,1.7197,0.5019,1.0597,1.1304
0.2800,6.2961,4.2347,1.7432,0.5312,1.1439,1.2127
0.3000,6.3070,4.2584,1.7683,0.5585,1.2286,1.2940
0.3200,6.3184,4.2838,1.7949,0.5835,1.3136,1.3743
0.3400,6.3303,4.3109,1.8232,0.6061,1.3991,1.4536
0.3600,6.3427,4.3402,1.8534,0.6256,1.4848,1.5312
0.3800,6.3555,4.3710,1.8851,0.6424,1.5704,1.6068
0.4000,6.3685,4.4035,1.9182,0.6565,1.6559,1.6803
0.4200,6.3817,4.4372,1.9522,0.6684,1.7408,1.7514
0.4400,6.3953,4.4744,1.9891,0.6738,1.8241,1.8153
0.4600,6.4089,4.5116,2.0260,0.6792,1.9074,1.8793
0.4800,6.4224,4.5488,2.0629,0.6847,1.9907,1.9432
0.5000,6.4359,4.5920,2.1039,0.6772,2.0662,1.9868
0.5200,6.4493,4.6358,2.1452,0.6686,2.1409,2.0287
0.5400,6.4627,4.6796,2.1865,0.6600,2.2157,2.0705
0.5600,6.4761,4.7234,2.2279,0.6515,2.2905,2.1123
0.5800,6.4895,4.7672,2.2692,0.6429,2.3653,2.1541
0.6000,6.5007,4.8181,2.3125,0.6173,2.4149,2.1516
0.6200,6.5118,4.8696,2.3560,0.5903,2.4624,2.1451
0.6400,6.5228,4.9211,2.3995,0.5633,2.5099,2.1387
0.6600,6.5338,4.9726,2.4429,0.5362,2.5574,2.1322
0.6800,6.5448,5.0241,2.4864,0.5092,2.6048,2.1258
0.7000,6.5559,5.0756,2.5299,0.4821,2.6523,2.1194
0.7200,6.5669,5.1271,2.5734,0.4551,2.6998,2.1129
0.7400,6.5762,5.1803,2.6153,0.4244,2.7332,2.0875
0.7600,6.5833,5.2358,2.6552,0.3887,2.7475,2.0362
0.7800,6.5903,5.2912,2.6950,0.3531,2.7618,1.9849
0.8000,6.5973,5.3467,2.7348,0.3174,2.7761,1.9336
0.8200,6.6044,5.4021,2.7746,0.2818,2.7904,1.8824
0.8400,6.6101,5.4578,2.8123,0.2458,2.7969,1.8242
0.8600,6.6141,5.5137,2.8472,0.2094,2.7929,1.7568
0.8800,6.6181,5.5696,2.8820,0.1730,2.7890,1.6893
0.9000,6.6220,5.6255,2.9165,0.1366,2.7841,1.6214
0.9200,6.6240,5.6809,2.9475,0.1010,2.7708,1.5485
0.9400,6.6260,5.7363,2.9784,0.0653,2.7574,1.4755
0.9600,6.6268,5.7913,3.0070,0.0304,2.7399,1.4010
0.9800,6.6272,5.8459,3.0345,-0.0042,2.7208,1.3260
1.0000,6.6268,5.9001,3.0603,-0.0382,2.6995,1.2505
1.0200,6.6257,5.9539,3.0845,-0.0717,2.6765,1.1748
1.0400,6.6239,6.0072,3.1073,-0.1047,2.6519,1.0990
1.0600,6.6215,6.0600,3.1285,-0.1372,2.6257,1.0231
1.0800,6.6184,6.1122,3.1482,-0.1693,2.5979,0.9473
1.1000,6.6147,6.1639,3.1664,-0.2009,2.5687,0.8716
1.1200,6.6104,6.2150,3.1831,-0.2322,2.5379,0.7961
1.1400,6.6054,6.2654,3.1983,-0.2630,2.5057,0.7210
1.1600,6.5999,6.3152,3.2119,-0.2936,2.4722,0.6464
1.1800,6.5937,6.3643,3.2241,-0.3238,2.4373,0.5722
1.2000,6.5869,6.4127,3.2348,-0.3538,2.4011,0.4987
1.2200,6.5795,6.4603,3.2441,-0.3837,2.3637,0.4258
1.2400,6.5715,6.5072,3.2518,-0.4134,2.3250,0.3537
1.2600,6.5630,6.5533,3.2582,-0.4432,2.2851,0.2826
1.2800,6.5537,6.5984,3.2629,-0.4730,2.2433,0.2131
1.3000,6.5439,6.6428,3.2663,-0.5033,2.1997,0.1455
1.3200,6.5332,6.6859,3.2680,-0.5341,2.1535,0.0809
1.3400,6.5226,6.7291,3.2697,-0.5649,2.1072,0.0162
1.3600,6.5104,6.7698,3.2685,-0.5979,2.0548,-0.0395
1.3800,6.4976,6.8096,3.2662,-0.6318,2.0002,-0.0922
1.4000,6.4848,6.8494,3.2640,-0.6656,1.9457,-0.1448
1.4200,6.4721,6.8892,3.2618,-0.6994,1.8911,-0.1975
1.4400,6.4564,6.9243,3.2567,-0.7394,1.8272,-0.2286
1.4600,6.4399,6.9581,3.2506,-0.7812,1.7604,-0.2532
1.4800,6.4234,6.9918,3.2446,-0.8229,1.6937,-0.2778
1.5000,6.4069,7.0255,3.2385,-0.8647,1.6270,-0.3024
1.5200,6.3903,7.0592,3.2325,-0.9065,1.5603,-0.3271
1.5400,6.3738,7.0930,3.2264,-0.9483,1.4935,-0.3517
1.5600,6.3536,7.1210,3.2195,-0.9970,1.4215,-0.3540
1.5800,6.3325,7.1477,3.2124,-1.0473,1.3483,-0.3513
1.6000,6.3114,7.1744,3.2053,-1.0976,1.2752,-0.3486
1.6200,6.2903,7.2011,3.1982,-1.1478,1.2020,-0.3459
1.6400,6.2664,7.2238,3.1915,-1.2011,1.1300,-0.3341
1.6600,6.2418,7.2457,3.1849,-1.2550,1.0583,-0.3206
1.6800,6.2168,7.2670,3.1785,-1.3092,0.9870,-0.3064
1.7000,6.1899,7.2857,3.1726,-1.3645,0.9175,-0.2889
1.7200,6.1622,7.3037,3.1669,-1.4201,0.8487,-0.2707
1.7400,6.1333,7.3200,3.1617,-1.4762,0.7811,-0.2516
1.7600,6.1033,7.3350,3.1568,-1.5326,0.7145,-0.2318
1.7800,6.0720,7.3486,3.1524,-1.5892,0.6490,-0.2116
1.8000,6.0397,7.3610,3.1484,-1.6460,0.5847,-0.1911
1.8200,6.0062,7.3720,3.1447,-1.7028,0.5216,-0.1703
1.8400,5.9716,7.3818,3.1415,-1.7597,0.4598,-0.1494
1.8600,5.9358,7.3904,3.1388,-1.8164,0.3995,-0.1286
1.8800,5.8989,7.3978,3.1364,-1.8730,0.3408,-0.1078
1.9000,5.8609,7.4041,3.1345,-1.9294,0.2836,-0.0872
1.9200,5.8217,7.4092,3.1329,-1.9854,0.2281,-0.0670
1.9400,5.7815,7.4132,3.1318,-2.0411,0.1743,-0.0471
1.9600,5.7401,7.4161,3.1310,-2.0962,0.1224,-0.0277
1.9800,5.6976,7.4181,3.1307,-2.1508,0.0724,-0.0088
2.0000,5.6536,7.4187,3.1308,-2.2039,0.0267,0.0086
2.0200,5.6095,7.4192,3.1310,-2.2568,-0.0186,0.0259
2.0400,5.5630,7.4178,3.1319,-2.3056,-0.0542,0.0397
2.0600,5.5163,7.4162,3.1329,-2.3541,-0.0891,0.0532
2.0800,5.4696,7.4147,3.1339,-2.4026,-0.1240,0.0667
2.1000,5.4198,7.4114,3.1355,-2.4396,-0.1393,0.0723
2.1200,5.3700,7.4081,3.1372,-2.4766,-0.1544,0.0778
2.1400,5.3202,7.4047,3.1388,-2.5136,-0.1696,0.0833
2.1600,5.2704,7.4014,3.1405,-2.5505,-0.1847,0.0888
2.1800,5.2192,7.3980,3.1421,-2.5697,-0.1846,0.0878
2.2000,5.1669,7.3946,3.1437,-2.5764,-0.1740,0.0824
2.2200,5.1147,7.3912,3.1453,-2.5831,-0.1634,0.0769
2.2400,5.0625,7.3878,3.1468,-2.5898,-0.1527,0.0715
2.2600,5.0102,7.3844,3.1484,-2.5966,-0.1421,0.0660
2.2800,4.9580,7.3810,3.1500,-2.6033,-0.1314,0.0606
2.3000,4.9057,7.3776,3.1516,-2.6100,-0.1208,0.0552
2.3200,4.8559,7.3767,3.1520,-2.5679,-0.1000,0.0457
