time_s,x_m,y_m,yaw_rad,vx_mps,vy_mps,omega_rads
0.0000,4.0000,7.4000,3.1413,-0.0000,0.0000,0.0000
0.0200,4.0010,7.3999,3.1412,0.1033,-0.0052,-0.0097
0.0400,4.0041,7.3998,3.1409,0.2065,-0.0103,-0.0193
0.0600,4.0093,7.3995,3.1405,0.3096,-0.0154,-0.0287
0.0800,4.0165,7.3992,3.1398,0.4124,-0.0204,-0.0378
0.1000,4.0258,7.3987,3.1389,0.5148,-0.0252,-0.0466
0.1200,4.0371,7.3982,3.1379,0.6169,-0.0299,-0.0550
0.1400,4.0505,7.3975,3.1367,0.7184,-0.0343,-0.0629
0.1600,4.0659,7.3968,3.1354,0.8195,-0.0386,-0.0702
0.1800,4.0832,7.3960,3.1339,0.9199,-0.0427,-0.0770
0.2000,4.1031,7.3951,3.1323,1.0193,-0.0464,-0.0829
0.2200,4.1249,7.3941,3.1306,1.1173,-0.0495,-0.0876
0.2400,4.1482,7.3931,3.1288,1.2142,-0.0522,-0.0913
0.2600,4.1737,7.3920,3.1270,1.3084,-0.0538,-0.0929
0.2800,4.2020,7.3909,3.1251,1.3990,-0.0538,-0.0918
0.3000,4.2304,7.3898,3.1232,1.4896,-0.0539,-0.0906
0.3200,4.2602,7.3888,3.1215,1.5767,-0.0527,-0.0873
0.3400,4.2952,7.3879,3.1201,1.6515,-0.0470,-0.0763
0.3600,4.3301,7.3870,3.1187,1.7263,-0.0414,-0.0653
0.3800,4.3651,7.3862,3.1174,1.8011,-0.0357,-0.0544
0.4000,4.4001,7.3853,3.1160,1.8759,-0.0301,-0.0434
0.4200,4.4379,7.3849,3.1155,1.9349,-0.0214,-0.0280
0.4400,4.4796,7.3852,3.1162,1.9721,-0.0086,-0.0065
0.4600,4.5213,7.3855,3.1169,2.0093,0.0042,0.0151
0.4800,4.5630,7.3859,3.1176,2.0466,0.0171,0.0367
0.5000,4.6047,7.3862,3.1183,2.0838,0.0299,0.0582
0.5200,4.6464,7.3865,3.1190,2.1210,0.0427,0.0798
0.5400,4.6881,7.3868,3.1198,2.1582,0.0555,0.1013
0.5600,4.7302,7.3875,3.1211,2.1857,0.0674,0.1210
0.5800,4.7739,7.3895,3.1245,2.1784,0.0761,0.1339
0.6000,4.8175,7.3915,3.1280,2.1711,0.0849,0.1468
0.6200,4.8612,7.3936,3.1315,2.1638,0.0936,0.1598
0.6400,4.9049,7.3956,3.1349,2.1565,0.1023,0.1727
0.6600,4.9485,7.3976,3.1384,2.1492,0.1110,0.1857
0.6800,4.9922,7.3996,3.1419,2.1419,0.1197,0.1986
0.7000,5.0341,7.4018,3.1455,2.1149,0.1155,0.1904
0.7200,5.0757,7.4041,3.1491,2.0836,0.1086,0.1776
0.7400,5.1173,7.4063,3.1528,2.0523,0.1016,0.1648
0.7600,5.1588,7.4086,3.1564,2.0210,0.0947,0.1521
0.7800,5.1990,7.4103,3.1592,1.9854,0.0808,0.1282
0.8000,5.2380,7.4116,3.1613,1.9464,0.0613,0.0954
