time_s,x_m,y_m,yaw_rad,vx_mps,vy_mps,omega_rads
0.0000,4.0865,7.2301,3.1411,-0.1319,-0.0087,0.0074
0.0200,4.0852,7.2300,3.1411,-0.0159,-0.0010,0.0009
0.0400,4.0867,7.2301,3.1410,0.1000,0.0065,-0.0055
0.0600,4.0895,7.2303,3.1409,0.2156,0.0141,-0.0116
0.0800,4.0963,7.2307,3.1405,0.3302,0.0213,-0.0170
0.1000,4.1032,7.2312,3.1402,0.4448,0.0285,-0.0223
0.1200,4.1144,7.2319,3.1397,0.5558,0.0349,-0.0253
0.1400,4.1285,7.2327,3.1391,0.6644,0.0407,-0.0267
0.1600,4.1425,7.2336,3.1385,0.7730,0.0465,-0.0282
0.1800,4.1565,7.2345,3.1379,0.8816,0.0524,-0.0296
0.2000,4.1778,7.2356,3.1376,0.9739,0.0554,-0.0245
0.2200,4.2013,7.2369,3.1373,1.0613,0.0576,-0.0174
0.2400,4.2248,7.2381,3.1370,1.1487,0.0598,-0.0102
0.2600,4.2482,7.2394,3.1367,1.2361,0.0620,-0.0031
0.2800,4.2717,7.2406,3.1364,1.3235,0.0642,0.0041
0.3000,4.2953,7.2419,3.1361,1.4104,0.0664,0.0113
0.3200,4.3260,7.2432,3.1368,1.4726,0.0655,0.0237
0.3400,4.3567,7.2445,3.1375,1.5349,0.0647,0.0360
0.3600,4.3874,7.2458,3.1382,1.5971,0.0639,0.0484
0.3800,4.4187,7.2471,3.1391,1.6570,0.0630,0.0604
0.4000,4.4530,7.2483,3.1405,1.7065,0.0616,0.0708
0.4200,4.4872,7.2495,3.1420,1.7559,0.0603,0.0812
0.4400,4.5227,7.2507,3.1436,1.8017,0.0590,0.0898
0.4600,4.5590,7.2519,3.1455,1.8454,0.0579,0.0973
0.4800,4.5963,7.2531,3.1475,1.8867,0.0570,0.1030
0.5000,4.6344,7.2542,3.1496,1.9266,0.0562,0.1075
0.5200,4.6734,7.2553,3.1518,1.9654,0.0557,0.1107
0.5400,4.7131,7.2564,3.1540,2.0029,0.0554,0.1125
0.5600,4.7535,7.2575,3.1563,2.0393,0.0553,0.1128
0.5800,4.7946,7.2586,3.1585,2.0745,0.0554,0.1115
0.6000,4.8364,7.2597,3.1607,2.1086,0.0558,0.1085
0.6200,4.8790,7.2609,3.1628,2.1413,0.0564,0.1034
0.6400,4.9223,7.2620,3.1648,2.1723,0.0574,0.0953
0.6600,4.9659,7.2632,3.1666,2.2022,0.0586,0.0854
0.6800,5.0105,7.2644,3.1680,2.2281,0.0604,0.0679
0.7000,5.0554,7.2656,3.1692,2.2525,0.0624,0.0480
0.7200,5.1003,7.2668,3.1703,2.2767,0.0644,0.0275
0.7400,5.1465,7.2682,3.1694,2.2903,0.0673,-0.0140
0.7600,5.1927,7.2696,3.1685,2.3039,0.0701,-0.0555
0.7800,5.2389,7.2710,3.1675,2.3174,0.0730,-0.0970
0.8000,5.2850,7.2724,3.1666,2.3310,0.0758,-0.1384
0.8200,5.3318,7.2740,3.1624,2.3352,0.0788,-0.1989
0.8400,5.3785,7.2756,3.1579,2.3388,0.0817,-0.2605
0.8600,5.4253,7.2772,3.1528,2.3417,0.0846,-0.3238
0.8800,5.4721,7.2790,3.1454,2.3416,0.0870,-0.3929
0.9000,5.5190,7.2807,3.1371,2.3410,0.0893,-0.4630
0.9200,5.5658,7.2825,3.1273,2.3395,0.0913,-0.5351
0.9400,5.6126,7.2844,3.1158,2.3374,0.0930,-0.6082
0.9600,5.6593,7.2862,3.1029,2.3348,0.0944,-0.6820
0.9800,5.7059,7.2881,3.0886,2.3318,0.0955,-0.7564
1.0000,5.7525,7.2901,3.0727,2.3285,0.0962,-0.8313
1.0200,5.7991,7.2920,3.0553,2.3249,0.0966,-0.9065
1.0400,5.8455,7.2939,3.0364,2.3210,0.0966,-0.9820
1.0600,5.8919,7.2959,3.0160,2.3168,0.0961,-1.0575
1.0800,5.9382,7.2978,2.9941,2.3124,0.0952,-1.1329
1.1000,5.9844,7.2996,2.9701,2.3075,0.0930,-1.2080
1.1200,6.0305,7.3015,2.9458,2.3026,0.0906,-1.2829
1.1400,6.0764,7.3032,2.9182,2.2970,0.0851,-1.3555
1.1600,6.1223,7.3048,2.8903,2.2912,0.0793,-1.4278
1.1800,6.1682,7.3065,2.8623,2.2855,0.0734,-1.5002
1.2000,6.2136,7.3074,2.8295,2.2785,0.0589,-1.5630
1.2200,6.2590,7.3083,2.7966,2.2715,0.0444,-1.6258
1.2400,6.3044,7.3093,2.7637,2.2645,0.0298,-1.6886
1.2600,6.3499,7.3102,2.7309,2.2575,0.0153,-1.7514
1.2800,6.3947,7.3094,2.6948,2.2488,-0.0122,-1.7948
1.3000,6.4392,7.3076,2.6567,2.2389,-0.0479,-1.8259
1.3200,6.4837,7.3058,2.6186,2.2291,-0.0836,-1.8571
1.3400,6.5283,7.3039,2.5805,2.2192,-0.1194,-1.8883
1.3600,6.5728,7.3021,2.5424,2.2094,-0.1551,-1.9194
1.3800,6.6173,7.3003,2.5044,2.1995,-0.1908,-1.9506
1.4000,6.6617,7.2983,2.4662,2.1893,-0.2273,-1.9803
1.4200,6.7048,7.2914,2.4267,2.1717,-0.2835,-1.9747
1.4400,6.7479,7.2845,2.3871,2.1540,-0.3398,-1.9691
1.4600,6.7910,7.2776,2.3476,2.1364,-0.3961,-1.9635
1.4800,6.8341,7.2707,2.3080,2.1187,-0.4523,-1.9579
1.5000,6.8762,7.2610,2.2692,2.0964,-0.5133,-1.9401
1.5200,6.9177,7.2497,2.2307,2.0715,-0.5768,-1.9158
1.5400,6.9593,7.2384,2.1922,2.0466,-0.6403,-1.8916
1.5600,6.9999,7.2248,2.1548,2.0179,-0.7051,-1.8611
1.5800,7.0401,7.2104,2.1177,1.9878,-0.7703,-1.8283
