time_s,x_m,y_m,yaw_rad,vx_mps,vy_mps,omega_rads
0.0000,7.8000,5.0000,1.5709,-0.0000,0.0000,-0.0000
0.0200,7.8002,5.0007,1.5718,0.0228,0.0664,0.0922
0.0400,7.8009,5.0027,1.5746,0.0456,0.1328,0.1843
0.0600,7.8020,5.0060,1.5792,0.0680,0.1992,0.2762
0.0800,7.8036,5.0106,1.5857,0.0899,0.2658,0.3678
0.1000,7.8056,5.0166,1.5939,0.1113,0.3326,0.4591
0.1200,7.8081,5.0239,1.6040,0.1319,0.3995,0.5499
0.1400,7.8109,5.0326,1.6159,0.1517,0.4667,0.6402
0.1600,7.8141,5.0426,1.6296,0.1704,0.5340,0.7299
0.1800,7.8177,5.0540,1.6451,0.1880,0.6016,0.8189
0.2000,7.8217,5.0667,1.6624,0.2043,0.6695,0.9072
0.2200,7.8259,5.0807,1.6814,0.2191,0.7376,0.9947
0.2400,7.8304,5.0962,1.7022,0.2324,0.8059,1.0813
0.2600,7.8352,5.1130,1.7247,0.2439,0.8745,1.1670
0.2800,7.8402,5.1312,1.7488,0.2536,0.9433,1.2518
0.3000,7.8453,5.1509,1.7749,0.2610,1.0122,1.3354
0.3200,7.8506,5.1722,1.8029,0.2657,1.0812,1.4170
0.3400,7.8560,5.1940,1.8314,0.2696,1.1503,1.4981
0.3600,7.8613,5.2188,1.8634,0.2673,1.2189,1.5734
0.3800,7.8667,5.2437,1.8955,0.2650,1.2875,1.6487
0.4000,7.8719,5.2699,1.9288,0.2594,1.3554,1.7201
0.4200,7.8767,5.2993,1.9655,0.2455,1.4217,1.7817
0.4400,7.8815,5.3288,2.0022,0.2317,1.4879,1.8432
0.4600,7.8863,5.3582,2.0389,0.2178,1.5542,1.9048
0.4800,7.8905,5.3891,2.0766,0.1993,1.6183,1.9593
0.5000,7.8929,5.4248,2.1180,0.1653,1.6753,1.9904
0.5200,7.8952,5.4605,2.1593,0.1314,1.7323,2.0214
0.5400,7.8975,5.4963,2.2007,0.0974,1.7892,2.0525
0.5600,7.8999,5.5320,2.2420,0.0634,1.8462,2.0835
0.5800,7.9022,5.5677,2.2834,0.0294,1.9032,2.1146
0.6000,7.9033,5.6044,2.3248,-0.0087,1.9555,2.1366
0.6200,7.8982,5.6466,2.3663,-0.0690,1.9831,2.1108
0.6400,7.8931,5.6888,2.4079,-0.1294,2.0107,2.0850
0.6600,7.8880,5.7310,2.4494,-0.1897,2.0383,2.0592
0.6800,7.8829,5.7732,2.4910,-0.2501,2.0659,2.0334
0.7000,7.8778,5.8154,2.5326,-0.3104,2.0935,2.0076
0.7200,7.8727,5.8576,2.5741,-0.3708,2.1210,1.9818
0.7400,7.8676,5.8998,2.6157,-0.4311,2.1486,1.9559
0.7600,7.8625,5.9420,2.6572,-0.4915,2.1762,1.9301
0.7800,7.8569,5.9843,2.6984,-0.5523,2.2019,1.9020
0.8000,7.8416,6.0281,2.7325,-0.6226,2.1941,1.8337
0.8200,7.8263,6.0720,2.7666,-0.6928,2.1863,1.7654
0.8400,7.8111,6.1158,2.8007,-0.7630,2.1784,1.6971
0.8600,7.7958,6.1596,2.8348,-0.8332,2.1706,1.6288
0.8800,7.7806,6.2034,2.8689,-0.9035,2.1628,1.5605
0.9000,7.7653,6.2472,2.9030,-0.9737,2.1550,1.4922
0.9200,7.7432,6.2894,2.9299,-1.0402,2.1298,1.4185
0.9400,7.7210,6.3315,2.9567,-1.1066,2.1043,1.3447
0.9600,7.6988,6.3737,2.9835,-1.1730,2.0787,1.2709
0.9800,7.6766,6.4158,3.0104,-1.2394,2.0532,1.1971
1.0000,7.6503,6.4561,3.0326,-1.3017,2.0201,1.1261
1.0200,7.6237,6.4962,3.0545,-1.3636,1.9864,1.0552
1.0400,7.5965,6.5360,3.0757,-1.4249,1.9519,0.9851
1.0600,7.5672,6.5745,3.0945,-1.4838,1.9143,0.9175
1.0800,7.5372,6.6126,3.1124,-1.5420,1.8759,0.8507
1.1000,7.5059,6.6498,3.1289,-1.5989,1.8360,0.7854
1.1200,7.4733,6.6861,3.1440,-1.6546,1.7950,0.7215
1.1400,7.4397,6.7216,3.1578,-1.7094,1.7530,0.6588
1.1600,7.4050,6.7562,3.1703,-1.7631,1.7101,0.5975
1.1800,7.3692,6.7900,3.1817,-1.8158,1.6665,0.5378
1.2000,7.3323,6.8229,3.1918,-1.8675,1.6221,0.4797
1.2200,7.2945,6.8549,3.2009,-1.9183,1.5771,0.4235
1.2400,7.2556,6.8860,3.2088,-1.9681,1.5316,0.3691
1.2600,7.2158,6.9161,3.2157,-2.0170,1.4857,0.3167
1.2800,7.1749,6.9454,3.2215,-2.0649,1.4393,0.2664
1.3000,7.1332,6.9737,3.2263,-2.1119,1.3926,0.2182
1.3200,7.0905,7.0011,3.2302,-2.1581,1.3457,0.1722
1.3400,7.0469,7.0275,3.2332,-2.2033,1.2986,0.1286
1.3600,7.0023,7.0530,3.2354,-2.2477,1.2514,0.0872
1.3800,6.9570,7.0776,3.2367,-2.2912,1.2040,0.0482
1.4000,6.9107,7.1012,3.2373,-2.3339,1.1567,0.0116
1.4200,6.8636,7.1239,3.2372,-2.3757,1.1094,-0.0225
1.4400,6.8157,7.1456,3.2364,-2.4167,1.0621,-0.0543
1.4600,6.7669,7.1663,3.2351,-2.4569,1.0150,-0.0836
1.4800,6.7174,7.1862,3.2331,-2.4962,0.9680,-0.1104
1.5000,6.6671,7.2051,3.2307,-2.5348,0.9212,-0.1348
1.5200,6.6160,7.2230,3.2277,-2.5725,0.8747,-0.1569
1.5400,6.5642,7.2401,3.2244,-2.6093,0.8284,-0.1765
1.5600,6.5117,7.2562,3.2207,-2.6453,0.7824,-0.1939
1.5800,6.4584,7.2714,3.2167,-2.6805,0.7368,-0.2089
1.6000,6.4044,7.2856,3.2124,-2.7148,0.6915,-0.2217
1.6200,6.3498,7.2990,3.2078,-2.7482,0.6466,-0.2324
1.6400,6.2945,7.3115,3.2031,-2.7807,0.6021,-0.2410
1.6600,6.2386,7.3231,3.1982,-2.8123,0.5580,-0.2476
1.6800,6.1820,7.3338,3.1932,-2.8430,0.5145,-0.2523
1.7000,6.1249,7.3437,3.1881,-2.8726,0.4714,-0.2551
1.7200,6.0671,7.3527,3.1830,-2.9011,0.4289,-0.2559
1.7400,6.0086,7.3605,3.1779,-2.9270,0.3875,-0.2533
1.7600,5.9500,7.3681,3.1728,-2.9524,0.3464,-0.2501
