time_s,x_m,y_m,yaw_rad,vx_mps,vy_mps,omega_rads
0.0000,3.6246,4.0352,-0.0000,0.0375,-0.0219,0.0000
0.0200,3.6250,4.0350,-0.0000,0.0000,-0.0000,0.0000
0.0400,3.6246,4.0352,-0.0000,-0.0374,0.0218,-0.0000
0.0600,3.6235,4.0359,-0.0000,-0.0745,0.0435,-0.0000
0.0800,3.6216,4.0370,-0.0000,-0.1112,0.0649,-0.0000
0.1000,3.6190,4.0385,-0.0000,-0.1473,0.0860,-0.0000
0.1200,3.6157,4.0404,-0.0000,-0.1826,0.1066,-0.0000
0.1400,3.6117,4.0427,-0.0000,-0.2170,0.1266,-0.0000
0.1600,3.6069,4.0456,-0.0000,-0.2497,0.1457,-0.0000
0.1800,3.6015,4.0487,-0.0000,-0.2804,0.1636,-0.0000
0.2000,3.5955,4.0522,-0.0000,-0.3091,0.1804,-0.0000
0.2200,3.5892,4.0559,-0.0000,-0.3355,0.1958,-0.0000
0.2400,3.5818,4.0602,-0.0000,-0.3553,0.2074,-0.0000
0.2600,3.5745,4.0645,-0.0000,-0.3752,0.2189,-0.0000
0.2800,3.5672,4.0687,-0.0000,-0.3950,0.2305,-0.0000
0.3000,3.5589,4.0736,-0.0000,-0.4032,0.2353,-0.0000
0.3200,3.5505,4.0785,-0.0000,-0.4102,0.2394,-0.0000
0.3400,3.5421,4.0834,-0.0000,-0.4172,0.2435,-0.0000
0.3600,3.5337,4.0883,-0.0000,-0.4242,0.2475,-0.0000
0.3800,3.5253,4.0932,-0.0000,-0.4312,0.2516,-0.0000
0.4000,3.5167,4.0982,-0.0000,-0.4316,0.2519,0.0000
0.4200,3.5080,4.1033,-0.0000,-0.4316,0.2518,0.0000
0.4400,3.4994,4.1083,-0.0000,-0.4315,0.2518,0.0000
0.4600,3.4908,4.1133,-0.0000,-0.4314,0.2517,0.0000
0.4800,3.4821,4.1184,-0.0000,-0.4311,0.2516,0.0000
0.5000,3.4735,4.1234,-0.0000,-0.4309,0.2515,0.0000
0.5200,3.4649,4.1284,-0.0000,-0.4308,0.2514,0.0000
0.5400,3.4563,4.1335,-0.0000,-0.4307,0.2513,0.0000
0.5600,3.4477,4.1385,-0.0000,-0.4306,0.2513,0.0000
