time_s,x_m,y_m,yaw_rad,vx_mps,vy_mps,omega_rads
0.0000,6.4560,3.1770,-2.5306,-0.0000,-0.0000,0.0000
0.0200,6.4561,3.1761,-2.5302,0.0124,-0.0849,0.0480
0.0400,6.4565,3.1736,-2.5287,0.0248,-0.1698,0.0960
0.0600,6.4571,3.1694,-2.5263,0.0373,-0.2544,0.1439
0.0800,6.4580,3.1634,-2.5230,0.0499,-0.3389,0.1915
0.1000,6.4591,3.1558,-2.5187,0.0627,-0.4231,0.2390
0.1200,6.4605,3.1465,-2.5134,0.0758,-0.5069,0.2862
0.1400,6.4621,3.1355,-2.5072,0.0891,-0.5903,0.3330
0.1600,6.4641,3.1229,-2.5001,0.1027,-0.6733,0.3795
0.1800,6.4663,3.1086,-2.4920,0.1167,-0.7556,0.4256
0.2000,6.4687,3.0927,-2.4831,0.1311,-0.8374,0.4712
0.2200,6.4715,3.0751,-2.4732,0.1459,-0.9184,0.5164
0.2400,6.4746,3.0559,-2.4624,0.1613,-0.9988,0.5610
0.2600,6.4780,3.0352,-2.4507,0.1771,-1.0783,0.6051
0.2800,6.4817,3.0128,-2.4382,0.1936,-1.1570,0.6486
0.3000,6.4857,2.9889,-2.4248,0.2106,-1.2348,0.6915
0.3200,6.4901,2.9634,-2.4106,0.2282,-1.3116,0.7337
0.3400,6.4948,2.9364,-2.3955,0.2466,-1.3874,0.7753
0.3600,6.5000,2.9079,-2.3795,0.2656,-1.4621,0.8162
0.3800,6.5055,2.8779,-2.3628,0.2853,-1.5357,0.8564
0.4000,6.5114,2.8465,-2.3453,0.3057,-1.6081,0.8959
0.4200,6.5177,2.8136,-2.3270,0.3269,-1.6792,0.9346
0.4400,6.5246,2.7789,-2.3077,0.3487,-1.7483,0.9720
0.4600,6.5318,2.7433,-2.2879,0.3706,-1.8159,1.0084
0.4800,6.5396,2.7057,-2.2671,0.3926,-1.8799,1.0424
0.5000,6.5475,2.6682,-2.2462,0.4147,-1.9439,1.0763
0.5200,6.5563,2.6277,-2.2239,0.4349,-1.9996,1.1044
0.5400,6.5655,2.5865,-2.2012,0.4546,-2.0532,1.1310
0.5600,6.5746,2.5453,-2.1785,0.4744,-2.1068,1.1576
0.5800,6.5839,2.5037,-2.1556,0.4930,-2.1579,1.1824
0.6000,6.5944,2.4585,-2.1312,0.5025,-2.1898,1.1931
0.6200,6.6049,2.4134,-2.1067,0.5120,-2.2216,1.2039
0.6400,6.6155,2.3683,-2.0823,0.5216,-2.2535,1.2146
0.6600,6.6260,2.3232,-2.0579,0.5311,-2.2854,1.2254
0.6800,6.6365,2.2781,-2.0335,0.5406,-2.3172,1.2361
0.7000,6.6466,2.2321,-2.0094,0.5316,-2.3253,1.2299
0.7200,6.6563,2.1855,-1.9856,0.5096,-2.3168,1.2118
0.7400,6.6660,2.1389,-1.9618,0.4876,-2.3083,1.1937
0.7600,6.6758,2.0923,-1.9380,0.4656,-2.2999,1.1756
0.7800,6.6855,2.0458,-1.9142,0.4436,-2.2914,1.1575
0.8000,6.6952,1.9992,-1.8904,0.4216,-2.2829,1.1394
0.8200,6.7050,1.9526,-1.8666,0.3996,-2.2745,1.1213
0.8400,6.7147,1.9060,-1.8428,0.3776,-2.2660,1.1032
0.8600,6.7227,1.8604,-1.8202,0.3443,-2.2482,1.0783
0.8800,6.7270,1.8172,-1.8005,0.2861,-2.2097,1.0384
0.9000,6.7312,1.7740,-1.7809,0.2279,-2.1712,0.9985
0.9200,6.7354,1.7309,-1.7612,0.1697,-2.1328,0.9586
0.9400,6.7396,1.6877,-1.7415,0.1115,-2.0943,0.9188
0.9600,6.7439,1.6445,-1.7218,0.0533,-2.0558,0.8789
0.9800,6.7433,1.6044,-1.7052,-0.0166,-2.0115,0.8362
1.0000,6.7415,1.5651,-1.6894,-0.0897,-1.9657,0.7927
1.0200,6.7397,1.5258,-1.6736,-0.1627,-1.9198,0.7493
1.0400,6.7374,1.4868,-1.6581,-0.2363,-1.8739,0.7059
1.0600,6.7309,1.4504,-1.6449,-0.3150,-1.8269,0.6633
1.0800,6.7244,1.4140,-1.6318,-0.3936,-1.7799,0.6206
1.1000,6.7158,1.3788,-1.6197,-0.4737,-1.7332,0.5787
1.1200,6.7060,1.3443,-1.6083,-0.5546,-1.6866,0.5372
1.1400,6.6941,1.3111,-1.5980,-0.6364,-1.6406,0.4964
1.1600,6.6805,1.2787,-1.5885,-0.7186,-1.5952,0.4562
1.1800,6.6653,1.2473,-1.5797,-0.8013,-1.5503,0.4166
1.2000,6.6485,1.2167,-1.5718,-0.8844,-1.5058,0.3776
1.2200,6.6300,1.1870,-1.5646,-0.9676,-1.4619,0.3394
1.2400,6.6098,1.1582,-1.5582,-1.0509,-1.4184,0.3021
1.2600,6.5879,1.1303,-1.5525,-1.1342,-1.3754,0.2656
1.2800,6.5644,1.1032,-1.5476,-1.2175,-1.3328,0.2302
1.3000,6.5392,1.0770,-1.5433,-1.3005,-1.2906,0.1958
1.3200,6.5124,1.0516,-1.5398,-1.3833,-1.2487,0.1624
1.3400,6.4839,1.0270,-1.5368,-1.4657,-1.2072,0.1303
1.3600,6.4537,1.0033,-1.5345,-1.5477,-1.1659,0.0993
1.3800,6.4220,0.9804,-1.5328,-1.6292,-1.1250,0.0695
1.4000,6.3886,0.9583,-1.5317,-1.7101,-1.0843,0.0410
1.4200,6.3536,0.9370,-1.5312,-1.7902,-1.0438,0.0138
