time_s,x_m,y_m,yaw_rad,vx_mps,vy_mps,omega_rads
0.0000,4.1500,0.5750,-1.5706,0.0000,-0.0000,0.0000
0.0200,4.1510,0.5751,-1.5706,0.1029,0.0080,0.0055
0.0400,4.1541,0.5753,-1.5704,0.2058,0.0160,0.0110
0.0600,4.1593,0.5757,-1.5701,0.3085,0.0239,0.0163
0.0800,4.1665,0.5763,-1.5697,0.4108,0.0315,0.0215
0.1000,4.1757,0.5770,-1.5693,0.5128,0.0389,0.0265
0.1200,4.1870,0.5778,-1.5687,0.6143,0.0459,0.0312
0.1400,4.2003,0.5788,-1.5680,0.7153,0.0527,0.0357
0.1600,4.2158,0.5800,-1.5673,0.8156,0.0589,0.0398
0.1800,4.2337,0.5812,-1.5664,0.9144,0.0643,0.0433
0.2000,4.2524,0.5825,-1.5655,1.0128,0.0694,0.0465
0.2200,4.2750,0.5840,-1.5645,1.1070,0.0720,0.0481
0.2400,4.2982,0.5855,-1.5636,1.2005,0.0743,0.0493
0.2600,4.3217,0.5870,-1.5626,1.2934,0.0762,0.0504
0.2800,4.3510,0.5884,-1.5616,1.3743,0.0720,0.0473
0.3000,4.3803,0.5898,-1.5607,1.4552,0.0679,0.0442
0.3200,4.4096,0.5912,-1.5598,1.5361,0.0637,0.0412
0.3400,4.4389,0.5926,-1.5589,1.6169,0.0595,0.0381
0.3600,4.4740,0.5932,-1.5586,1.6705,0.0467,0.0294
0.3800,4.5101,0.5936,-1.5583,1.7188,0.0323,0.0196
0.4000,4.5463,0.5939,-1.5581,1.7672,0.0179,0.0099
0.4200,4.5824,0.5943,-1.5579,1.8156,0.0035,0.0001
0.4400,4.6186,0.5947,-1.5577,1.8640,-0.0109,-0.0096
0.4600,4.6547,0.5951,-1.5575,1.9123,-0.0253,-0.0194
0.4800,4.6926,0.5945,-1.5579,1.9428,-0.0422,-0.0307
0.5000,4.7320,0.5931,-1.5590,1.9572,-0.0615,-0.0434
0.5200,4.7715,0.5916,-1.5600,1.9715,-0.0808,-0.0561
0.5400,4.8110,0.5901,-1.5610,1.9859,-0.1000,-0.0688
0.5600,4.8506,0.5883,-1.5623,1.9955,-0.1183,-0.0808
0.5800,4.8905,0.5855,-1.5641,1.9947,-0.1345,-0.0913
0.6000,4.9304,0.5828,-1.5660,1.9938,-0.1506,-0.1018
