time_s,x_m,y_m,yaw_rad,vx_mps,vy_mps,omega_rads
0.0000,4.0850,0.4140,-1.5708,0.0000,-0.0000,0.0000
0.0200,4.0863,0.4142,-1.5708,0.1303,0.0169,-0.0004
0.0400,4.0902,0.4147,-1.5708,0.2606,0.0337,-0.0008
0.0600,4.0967,0.4155,-1.5708,0.3908,0.0503,-0.0012
0.0800,4.1059,0.4167,-1.5708,0.5207,0.0666,-0.0015
0.1000,4.1176,0.4182,-1.5709,0.6504,0.0825,-0.0019
0.1200,4.1319,0.4200,-1.5709,0.7799,0.0979,-0.0022
0.1400,4.1488,0.4221,-1.5709,0.9089,0.1127,-0.0025
0.1600,4.1682,0.4245,-1.5710,1.0376,0.1269,-0.0028
0.1800,4.1903,0.4272,-1.5711,1.1657,0.1404,-0.0030
0.2000,4.2149,0.4301,-1.5711,1.2934,0.1532,-0.0032
0.2200,4.2420,0.4333,-1.5712,1.4205,0.1652,-0.0034
0.2400,4.2722,0.4368,-1.5713,1.5466,0.1761,-0.0035
0.2600,4.3049,0.4404,-1.5713,1.6714,0.1854,-0.0035
0.2800,4.3397,0.4442,-1.5714,1.7952,0.1935,-0.0034
0.3000,4.3770,0.4481,-1.5715,1.9166,0.1992,-0.0032
0.3200,4.4183,0.4522,-1.5715,2.0342,0.2013,-0.0029
0.3400,4.4595,0.4563,-1.5716,2.1519,0.2034,-0.0025
0.3600,4.5021,0.4603,-1.5716,2.2672,0.2038,-0.0021
0.3800,4.5523,0.4641,-1.5716,2.3688,0.1944,-0.0012
0.4000,4.6025,0.4679,-1.5716,2.4705,0.1851,-0.0003
0.4200,4.6526,0.4716,-1.5716,2.5722,0.1758,0.0006
0.4400,4.7028,0.4754,-1.5717,2.6738,0.1665,0.0014
0.4600,4.7558,0.4786,-1.5716,2.7632,0.1543,0.0023
0.4800,4.8158,0.4805,-1.5715,2.8229,0.1350,0.0033
0.5000,4.8758,0.4823,-1.5714,2.8826,0.1158,0.0043
0.5200,4.9358,0.4842,-1.5713,2.9423,0.0965,0.0053
0.5400,4.9958,0.4861,-1.5712,3.0020,0.0772,0.0062
0.5600,5.0558,0.4879,-1.5710,3.0617,0.0580,0.0072
0.5800,5.1158,0.4898,-1.5709,3.1214,0.0387,0.0082
0.6000,5.1759,0.4916,-1.5708,3.1804,0.0195,0.0091
0.6200,5.2404,0.4912,-1.5706,3.1906,0.0080,0.0095
0.6400,5.3049,0.4907,-1.5704,3.2008,-0.0035,0.0098
0.6600,5.3694,0.4903,-1.5702,3.2110,-0.0150,0.0101
0.6800,5.4340,0.4899,-1.5700,3.2212,-0.0265,0.0105
