time_s,x_m,y_m,yaw_rad,vx_mps,vy_mps,omega_rads
0.0000,7.7391,2.9999,-1.5708,0.0897,0.0145,0.0000
0.0200,7.7400,3.0000,-1.5708,0.0000,0.0000,0.0000
0.0400,7.7391,2.9999,-1.5708,-0.0896,-0.0145,-0.0000
0.0600,7.7359,2.9993,-1.5708,-0.1790,-0.0292,-0.0001
0.0800,7.7312,2.9986,-1.5708,-0.2676,-0.0441,-0.0001
0.1000,7.7246,2.9975,-1.5708,-0.3553,-0.0593,-0.0001
0.1200,7.7173,2.9962,-1.5708,-0.4422,-0.0748,-0.0001
0.1400,7.7058,2.9942,-1.5708,-0.5240,-0.0920,-0.0001
0.1600,7.6944,2.9922,-1.5708,-0.6059,-0.1093,-0.0001
0.1800,7.6829,2.9902,-1.5708,-0.6877,-0.1265,-0.0001
0.2000,7.6670,2.9869,-1.5708,-0.7560,-0.1483,-0.0000
0.2200,7.6493,2.9832,-1.5708,-0.8191,-0.1718,0.0000
0.2400,7.6316,2.9794,-1.5708,-0.8822,-0.1954,0.0001
0.2600,7.6139,2.9756,-1.5708,-0.9453,-0.2189,0.0001
0.2800,7.5961,2.9719,-1.5708,-1.0084,-0.2424,0.0002
0.3000,7.5756,2.9658,-1.5708,-1.0437,-0.2747,0.0002
0.3200,7.5529,2.9581,-1.5708,-1.0580,-0.3137,0.0002
0.3400,7.5302,2.9503,-1.5708,-1.0723,-0.3526,0.0002
0.3600,7.5075,2.9425,-1.5708,-1.0865,-0.3916,0.0002
0.3800,7.4848,2.9347,-1.5708,-1.1008,-0.4306,0.0002
0.4000,7.4621,2.9269,-1.5708,-1.1151,-0.4695,0.0002
0.4200,7.4394,2.9191,-1.5708,-1.1293,-0.5085,0.0002
0.4400,7.4167,2.9113,-1.5708,-1.1436,-0.5474,0.0002
0.4600,7.3950,2.8985,-1.5708,-1.1187,-0.5979,0.0002
0.4800,7.3735,2.8848,-1.5708,-1.0865,-0.6505,0.0002
0.5000,7.3521,2.8711,-1.5708,-1.0543,-0.7030,0.0002
0.5200,7.3306,2.8574,-1.5708,-1.0221,-0.7556,0.0002
0.5400,7.3092,2.8436,-1.5708,-0.9899,-0.8082,0.0002
0.5600,7.2901,2.8267,-1.5708,-0.9476,-0.8629,0.0002
