time_s,x_m,y_m,yaw_rad,vx_mps,vy_mps,omega_rads
0.0000,3.8016,0.4801,1.5708,-0.1622,-0.0123,0.0003
0.0200,3.8000,0.4800,1.5708,-0.0001,-0.0000,0.0000
0.0400,3.8016,0.4801,1.5708,0.1620,0.0123,-0.0003
0.0600,3.8073,0.4806,1.5708,0.3239,0.0246,-0.0005
0.0800,3.8160,0.4812,1.5708,0.4854,0.0369,-0.0008
0.1000,3.8276,0.4821,1.5708,0.6464,0.0490,-0.0011
0.1200,3.8418,0.4832,1.5707,0.8065,0.0610,-0.0013
0.1400,3.8623,0.4847,1.5707,0.9642,0.0726,-0.0015
0.1600,3.8828,0.4863,1.5707,1.1218,0.0842,-0.0017
0.1800,3.9033,0.4878,1.5706,1.2795,0.0957,-0.0020
0.2000,3.9360,0.4902,1.5706,1.4254,0.1056,-0.0021
0.2200,3.9691,0.4926,1.5705,1.5709,0.1155,-0.0022
0.2400,4.0022,0.4951,1.5705,1.7164,0.1253,-0.0024
0.2600,4.0354,0.4975,1.5704,1.8619,0.1351,-0.0025
0.2800,4.0685,0.5000,1.5704,2.0073,0.1450,-0.0026
0.3000,4.1169,0.5033,1.5703,2.1134,0.1505,-0.0025
0.3200,4.1657,0.5067,1.5703,2.2182,0.1558,-0.0024
0.3400,4.2146,0.5101,1.5702,2.3230,0.1612,-0.0024
0.3600,4.2634,0.5135,1.5702,2.4279,0.1666,-0.0023
0.3800,4.3123,0.5168,1.5702,2.5327,0.1719,-0.0022
0.4000,4.3612,0.5202,1.5701,2.6375,0.1773,-0.0021
0.4200,4.4100,0.5236,1.5701,2.7423,0.1827,-0.0020
0.4400,4.4638,0.5272,1.5700,2.8236,0.1860,-0.0019
0.4600,4.5228,0.5310,1.5700,2.8799,0.1873,-0.0017
0.4800,4.5819,0.5348,1.5700,2.9362,0.1885,-0.0015
0.5000,4.6409,0.5386,1.5699,2.9925,0.1898,-0.0012
0.5200,4.6999,0.5423,1.5699,3.0488,0.1910,-0.0010
0.5400,4.7607,0.5462,1.5699,3.0924,0.1916,-0.0008
0.5600,4.8234,0.5500,1.5699,3.1228,0.1917,-0.0006
0.5800,4.8860,0.5538,1.5699,3.1532,0.1917,-0.0004
0.6000,4.9489,0.5577,1.5698,3.1816,0.1917,-0.0002
0.6200,5.0129,0.5615,1.5698,3.1995,0.1916,0.0000
0.6400,5.0769,0.5653,1.5698,3.2174,0.1914,0.0002
0.6600,5.1414,0.5692,1.5699,3.2299,0.1913,0.0004
0.6800,5.2061,0.5730,1.5699,3.2408,0.1912,0.0005
0.7000,5.2710,0.5768,1.5699,3.2494,0.1912,0.0007
0.7200,5.3361,0.5806,1.5699,3.2564,0.1913,0.0008
0.7400,5.4013,0.5845,1.5699,3.2617,0.1914,0.0010
