time_s,x_m,y_m,yaw_rad,vx_mps,vy_mps,omega_rads
0.0000,8.2700,2.9987,1.5708,0.0029,0.1278,-0.0002
0.0200,8.2700,3.0000,1.5708,0.0000,0.0001,-0.0000
0.0400,8.2700,2.9987,1.5708,-0.0028,-0.1276,0.0002
0.0600,8.2699,2.9949,1.5708,-0.0056,-0.2552,0.0004
0.0800,8.2697,2.9885,1.5708,-0.0084,-0.3826,0.0007
0.1000,8.2696,2.9796,1.5708,-0.0110,-0.5098,0.0009
0.1200,8.2693,2.9681,1.5708,-0.0134,-0.6367,0.0011
0.1400,8.2690,2.9541,1.5709,-0.0156,-0.7631,0.0013
0.1600,8.2687,2.9374,1.5709,-0.0177,-0.8890,0.0014
0.1800,8.2683,2.9176,1.5709,-0.0192,-1.0139,0.0016
0.2000,8.2679,2.8967,1.5710,-0.0206,-1.1383,0.0017
0.2200,8.2675,2.8710,1.5710,-0.0209,-1.2596,0.0018
0.2400,8.2671,2.8454,1.5710,-0.0212,-1.3810,0.0018
0.2600,8.2667,2.8158,1.5711,-0.0202,-1.4978,0.0018
0.2800,8.2663,2.7825,1.5711,-0.0180,-1.6103,0.0017
0.3000,8.2659,2.7493,1.5711,-0.0157,-1.7227,0.0015
0.3200,8.2656,2.7160,1.5712,-0.0134,-1.8351,0.0014
0.3400,8.2655,2.6767,1.5712,-0.0089,-1.9327,0.0011
0.3600,8.2655,2.6336,1.5712,-0.0031,-2.0211,0.0007
0.3800,8.2656,2.5906,1.5712,0.0027,-2.1095,0.0003
0.4000,8.2656,2.5475,1.5712,0.0086,-2.1980,-0.0001
0.4200,8.2657,2.5044,1.5712,0.0144,-2.2864,-0.0005
0.4400,8.2657,2.4614,1.5712,0.0203,-2.3748,-0.0009
0.4600,8.2661,2.4116,1.5712,0.0193,-2.4166,-0.0012
0.4800,8.2666,2.3600,1.5711,0.0164,-2.4453,-0.0014
0.5000,8.2671,2.3084,1.5711,0.0135,-2.4740,-0.0017
0.5200,8.2676,2.2567,1.5710,0.0106,-2.5027,-0.0019
0.5400,8.2681,2.2051,1.5710,0.0077,-2.5314,-0.0021
0.5600,8.2686,2.1535,1.5709,0.0048,-2.5601,-0.0024
0.5800,8.2690,2.1018,1.5709,0.0019,-2.5888,-0.0026
0.6000,8.2695,2.0502,1.5708,-0.0011,-2.6174,-0.0029
0.6200,8.2700,1.9986,1.5708,-0.0046,-2.6445,-0.0031
0.6400,8.2686,1.9471,1.5707,-0.0320,-2.6137,-0.0029
0.6600,8.2672,1.8957,1.5707,-0.0593,-2.5828,-0.0027
0.6800,8.2657,1.8443,1.5706,-0.0866,-2.5520,-0.0025
0.7000,8.2643,1.7928,1.5706,-0.1140,-2.5211,-0.0023
0.7200,8.2629,1.7414,1.5705,-0.1413,-2.4903,-0.0021
0.7400,8.2609,1.6907,1.5705,-0.1726,-2.4551,-0.0018
0.7600,8.2558,1.6434,1.5704,-0.2216,-2.4007,-0.0014
0.7800,8.2507,1.5962,1.5704,-0.2706,-2.3463,-0.0010
0.8000,8.2456,1.5489,1.5704,-0.3196,-2.2920,-0.0007
0.8200,8.2395,1.5027,1.5704,-0.3719,-2.2351,-0.0003
0.8400,8.2309,1.4593,1.5704,-0.4323,-2.1722,0.0001
0.8600,8.2223,1.4159,1.5704,-0.4927,-2.1092,0.0004
0.8800,8.2118,1.3743,1.5704,-0.5566,-2.0442,0.0007
0.9000,8.2004,1.3337,1.5704,-0.6222,-1.9783,0.0010
0.9200,8.1872,1.2949,1.5704,-0.6898,-1.9114,0.0012
0.9400,8.1727,1.2573,1.5705,-0.7585,-1.8440,0.0014
0.9600,8.1569,1.2211,1.5705,-0.8282,-1.7763,0.0016
0.9800,8.1396,1.1862,1.5705,-0.8987,-1.7084,0.0018
1.0000,8.1209,1.1527,1.5706,-0.9701,-1.6404,0.0019
1.0200,8.1008,1.1206,1.5706,-1.0423,-1.5723,0.0020
1.0400,8.0792,1.0898,1.5706,-1.1151,-1.5042,0.0021
1.0600,8.0562,1.0604,1.5707,-1.1886,-1.4363,0.0021
1.0800,8.0317,1.0324,1.5707,-1.2625,-1.3686,0.0021
1.1000,8.0057,1.0057,1.5708,-1.3369,-1.3012,0.0021
1.1200,7.9782,0.9803,1.5708,-1.4117,-1.2343,0.0020
1.1400,7.9492,0.9563,1.5709,-1.4866,-1.1680,0.0019
1.1600,7.9187,0.9336,1.5709,-1.5616,-1.1024,0.0018
1.1800,7.8867,0.9122,1.5709,-1.6366,-1.0375,0.0017
1.2000,7.8533,0.8921,1.5710,-1.7114,-0.9734,0.0016
1.2200,7.8183,0.8733,1.5710,-1.7861,-0.9103,0.0014
1.2400,7.7818,0.8557,1.5710,-1.8604,-0.8482,0.0012
1.2600,7.7438,0.8394,1.5710,-1.9343,-0.7873,0.0010
1.2800,7.7041,0.8245,1.5711,-2.0073,-0.7282,0.0008
1.3000,7.6635,0.8103,1.5711,-2.0797,-0.6703,0.0005
1.3200,7.6204,0.7981,1.5711,-2.1491,-0.6175,0.0003
1.3400,7.5767,0.7863,1.5711,-2.2179,-0.5658,0.0000
1.3600,7.5322,0.7750,1.5711,-2.2848,-0.5167,-0.0002
1.3800,7.4843,0.7661,1.5711,-2.3428,-0.4799,-0.0004
1.4000,7.4364,0.7573,1.5710,-2.4008,-0.4431,-0.0007
1.4200,7.3885,0.7484,1.5710,-2.4588,-0.4064,-0.0009
1.4400,7.3399,0.7399,1.5710,-2.5144,-0.3725,-0.0011
1.4600,7.2886,0.7330,1.5710,-2.5602,-0.3507,-0.0013
1.4800,7.2372,0.7261,1.5710,-2.6060,-0.3289,-0.0014
1.5000,7.1848,0.7196,1.5709,-2.6483,-0.3106,-0.0015
1.5200,7.1316,0.7135,1.5709,-2.6878,-0.2953,-0.0016
1.5400,7.0774,0.7078,1.5709,-2.7249,-0.2821,-0.0017
1.5600,7.0226,0.7022,1.5708,-2.7604,-0.2704,-0.0018
1.5800,6.9671,0.6969,1.5708,-2.7943,-0.2599,-0.0018
1.6000,6.9109,0.6918,1.5708,-2.8267,-0.2504,-0.0019
1.6200,6.8540,0.6869,1.5707,-2.8577,-0.2419,-0.0019
1.6400,6.7966,0.6821,1.5707,-2.8871,-0.2344,-0.0020
1.6600,6.7385,0.6775,1.5706,-2.9150,-0.2278,-0.0020
1.6800,6.6800,0.6730,1.5706,-2.9413,-0.2220,-0.0020
1.7000,6.6209,0.6686,1.5706,-2.9660,-0.2170,-0.0020
1.7200,6.5613,0.6643,1.5705,-2.9891,-0.2127,-0.0020
1.7400,6.5013,0.6601,1.5705,-3.0106,-0.2091,-0.0020
1.7600,6.4409,0.6560,1.5704,-3.0303,-0.2062,-0.0020
1.7800,6.3801,0.6519,1.5704,-3.0485,-0.2039,-0.0019
1.8000,6.3190,0.6478,1.5704,-3.0649,-0.2021,-0.0019
1.8200,6.2576,0.6438,1.5703,-3.0796,-0.2008,-0.0019
1.8400,6.1958,0.6398,1.5703,-3.0926,-0.1999,-0.0018
1.8600,6.1339,0.6358,1.5703,-3.1038,-0.1995,-0.0018
1.8800,6.0717,0.6318,1.5702,-3.1134,-0.1995,-0.0017
1.9000,6.0093,0.6278,1.5702,-3.1212,-0.1999,-0.0016
1.9200,5.9469,0.6238,1.5702,-3.1272,-0.2005,-0.0016
1.9400,5.8843,0.6198,1.5701,-3.1316,-0.2014,-0.0015
1.9600,5.8216,0.6157,1.5701,-3.1342,-0.2026,-0.0014
1.9800,5.7589,0.6117,1.5701,-3.1350,-0.2040,-0.0013
2.0000,5.6962,0.6076,1.5701,-3.1342,-0.2055,-0.0011
2.0200,5.6336,0.6034,1.5700,-3.1316,-0.2072,-0.0010
2.0400,5.5710,0.5993,1.5700,-3.1273,-0.2091,-0.0009
2.0600,5.5085,0.5951,1.5700,-3.1213,-0.2110,-0.0007
2.0800,5.4461,0.5908,1.5700,-3.1137,-0.2130,-0.0006
2.1000,5.3840,0.5866,1.5700,-3.1039,-0.2150,-0.0004
2.1200,5.3220,0.5822,1.5700,-3.0923,-0.2170,-0.0003
2.1400,5.2604,0.5779,1.5700,-3.0760,-0.2191,-0.0001
2.1600,5.1988,0.5735,1.5700,-3.0597,-0.2211,0.0001
2.1800,5.1384,0.5690,1.5700,-3.0320,-0.2227,0.0003
2.2000,5.0781,0.5645,1.5700,-3.0041,-0.2243,0.0005
2.2200,5.0177,0.5601,1.5700,-2.9762,-0.2260,0.0007
2.2400,4.9598,0.5555,1.5700,-2.9296,-0.2262,0.0009
2.2600,4.9027,0.5510,1.5700,-2.8774,-0.2261,0.0011
2.2800,4.8455,0.5464,1.5701,-2.8253,-0.2260,0.0013
2.3000,4.7884,0.5419,1.5701,-2.7731,-0.2258,0.0015
2.3200,4.7312,0.5374,1.5701,-2.7209,-0.2257,0.0017
2.3400,4.6828,0.5331,1.5701,-2.6250,-0.2203,0.0018
2.3600,4.6348,0.5289,1.5702,-2.5267,-0.2146,0.0019
