robot_x,robot_y,distance_m,valid,pitch_deg,velocity_mps,rpm,tof_s,impact_x_m,impact_y_m,impact_z_m,yaw_deg
2.0,-5.0,5.3852,True,24.4402,12.7082,3981.4,0.4992,0.0,0.0,1.7788,111.8014
2.0,-4.0,4.4721,True,28.8544,10.814,3388.0,0.501,0.0,0.0,1.7788,116.5651
2.0,-3.0,3.6056,True,34.5207,9.1462,2865.5,0.5027,0.0,0.0,1.7788,123.6901
2.0,-2.0,2.8284,True,41.4045,7.7921,2441.2,0.5042,0.0,0.0,1.7788,135.0
2.0,-1.0,2.2361,True,48.2402,6.881,2155.8,0.5053,0.0,0.0,1.7788,153.4349
2.0,0.0,2.0,True,51.4349,6.5548,2053.6,0.5057,0.0,0.0,1.7788,-180.0
2.0,1.0,2.2361,True,48.2402,6.881,2155.8,0.5053,0.0,0.0,1.7788,-153.4349
2.0,2.0,2.8284,True,41.4045,7.7921,2441.2,0.5042,0.0,0.0,1.7788,-135.0
2.0,3.0,3.6056,True,34.5207,9.1462,2865.5,0.5027,0.0,0.0,1.7788,-123.6901
2.0,4.0,4.4721,True,28.8544,10.814,3388.0,0.501,0.0,0.0,1.7788,-116.5651
2.0,5.0,5.3852,True,24.4402,12.7082,3981.4,0.4992,0.0,0.0,1.7788,-111.8014
3.0,-5.0,5.831,True,24.4095,12.7674,4000.0,0.541,0.0,0.0,1.7788,120.9638
3.0,-4.0,5.0,True,26.1463,11.8938,3726.3,0.5,0.0,0.0,1.7788,126.8699
3.0,-3.0,4.2426,True,30.1911,10.3583,3245.2,0.5015,0.0,0.0,1.7788,135.0
3.0,-2.0,3.6056,True,34.5207,9.1462,2865.5,0.5027,0.0,0.0,1.7788,146.3099
3.0,-1.0,3.1623,True,38.1943,8.3547,2617.5,0.5035,0.0,0.0,1.7788,161.5651
3.0,0.0,3.0,True,39.7023,8.0774,2530.6,0.5039,0.0,0.0,1.7788,-180.0
3.0,1.0,3.1623,True,38.1943,8.3547,2617.5,0.5035,0.0,0.0,1.7788,-161.5651
3.0,2.0,3.6056,True,34.5207,9.1462,2865.5,0.5027,0.0,0.0,1.7788,-146.3099
3.0,3.0,4.2426,True,30.1911,10.3583,3245.2,0.5015,0.0,0.0,1.7788,-135.0
3.0,4.0,5.0,True,26.1463,11.8938,3726.3,0.5,0.0,0.0,1.7788,-126.8699
3.0,5.0,5.831,True,24.4095,12.7674,4000.0,0.541,0.0,0.0,1.7788,-120.9638
4.0,-5.0,6.4031,True,24.7691,12.7667,3999.8,0.6002,0.0,0.0,1.7788,128.6598
4.0,-4.0,5.6569,True,24.3556,12.767,3999.9,0.5234,0.0,0.0,1.7788,135.0
4.0,-3.0,5.0,True,26.1463,11.8938,3726.3,0.5,0.0,0.0,1.7788,143.1301
4.0,-2.0,4.4721,True,28.8544,10.814,3388.0,0.501,0.0,0.0,1.7788,153.4349
4.0,-1.0,4.1231,True,30.9297,10.125,3172.1,0.5017,0.0,0.0,1.7788,165.9638
4.0,0.0,4.0,True,31.7241,9.8874,3097.7,0.5019,0.0,0.0,1.7788,-180.0
4.0,1.0,4.1231,True,30.9297,10.125,3172.1,0.5017,0.0,0.0,1.7788,-165.9638
4.0,2.0,4.4721,True,28.8544,10.814,3388.0,0.501,0.0,0.0,1.7788,-153.4349
4.0,3.0,5.0,True,26.1463,11.8938,3726.3,0.5,0.0,0.0,1.7788,-143.1301
4.0,4.0,5.6569,True,24.3556,12.767,3999.9,0.5234,0.0,0.0,1.7788,-135.0
4.0,5.0,6.4031,True,24.7691,12.7667,3999.8,0.6002,0.0,0.0,1.7788,-128.6598
