t,robot_x,robot_y,robot_vx,robot_vy,heading_deg,distance_m,turret_yaw_deg,direct_yaw_deg,yaw_lead_deg,hood_pitch_deg,shooter_rpm,velocity_mps,tof_s,valid
0.0,8.0,0.0,-2.0,0.0,180.0,8.0,-180.0,-180.0,0.0,40.1,3379.7,10.7877,1.084,True
0.02,7.96,0.0,-2.0,0.0,180.0,7.96,-180.0,-180.0,0.0,39.5625,3379.7,10.7877,1.0691,True
0.04,7.92,0.0,-2.0,0.0,180.0,7.92,-180.0,-180.0,0.0,39.025,3379.7,10.7877,1.0546,True
0.06,7.88,0.0,-2.0,0.0,180.0,7.88,-180.0,-180.0,0.0,39.025,3379.7,10.7877,1.0487,True
0.08,7.84,0.0,-2.0,0.0,180.0,7.84,-180.0,-180.0,0.0,40.1,3335.4,10.6463,1.074,True
0.1,7.8,0.0,-2.0,0.0,180.0,7.8,-180.0,-180.0,0.0,40.1,3335.4,10.6463,1.0679,True
0.12,7.76,0.0,-2.0,0.0,180.0,7.76,-180.0,-180.0,0.0,40.1,3335.4,10.6463,1.0619,True
0.14,7.72,0.0,-2.0,0.0,180.0,7.72,-180.0,-180.0,0.0,39.025,3335.4,10.6463,1.0387,True
0.16,7.68,0.0,-2.0,0.0,180.0,7.68,-180.0,-180.0,0.0,39.025,3335.4,10.6463,1.0328,True
0.18,7.64,0.0,-2.0,0.0,180.0,7.64,-180.0,-180.0,0.0,39.025,3335.4,10.6463,1.0268,True
0.2,7.6,0.0,-2.0,0.0,180.0,7.6,-180.0,-180.0,0.0,40.1,3291.1,10.5048,1.0516,True
0.22,7.56,0.0,-2.0,0.0,180.0,7.56,-180.0,-180.0,0.0,40.1,3291.1,10.5048,1.0455,True
0.24,7.52,0.0,-2.0,0.0,180.0,7.52,-180.0,-180.0,0.0,39.5625,3291.1,10.5048,1.0308,True
0.26,7.48,0.0,-2.0,0.0,180.0,7.48,-180.0,-180.0,0.0,39.025,3291.1,10.5048,1.0166,True
0.28,7.44,0.0,-2.0,0.0,180.0,7.44,-180.0,-180.0,0.0,39.025,3291.1,10.5048,1.0106,True
0.3,7.4,0.0,-2.0,0.0,180.0,7.4,-180.0,-180.0,0.0,40.1,3246.8,10.3634,1.0349,True
0.32,7.36,0.0,-2.0,0.0,180.0,7.36,-180.0,-180.0,0.0,40.1,3246.8,10.3634,1.0288,True
0.34,7.32,0.0,-2.0,0.0,180.0,7.32,-180.0,-180.0,0.0,40.1,3246.8,10.3634,1.0226,True
0.36,7.28,0.0,-2.0,0.0,180.0,7.28,-180.0,-180.0,0.0,39.5625,3246.8,10.3634,1.0082,True
0.38,7.24,0.0,-2.0,0.0,180.0,7.24,-180.0,-180.0,0.0,39.025,3246.8,10.3634,0.994,True
0.4,7.2,0.0,-2.0,0.0,180.0,7.2,-180.0,-180.0,0.0,57.3,3202.5,10.222,1.4711,True
0.42,7.16,0.0,-2.0,0.0,180.0,7.16,-180.0,-180.0,0.0,40.1,3202.5,10.222,1.0118,True
0.44,7.12,0.0,-2.0,0.0,180.0,7.12,-180.0,-180.0,0.0,40.1,3202.5,10.222,1.0056,True
0.46,7.08,0.0,-2.0,0.0,180.0,7.08,-180.0,-180.0,0.0,40.1,3202.5,10.222,0.9994,True
0.48,7.04,0.0,-2.0,0.0,180.0,7.04,-180.0,-180.0,0.0,39.5625,3202.5,10.222,0.9851,True
0.5,7.0,0.0,-2.0,0.0,180.0,7.0,-180.0,-180.0,0.0,57.3,3158.2,10.0806,1.4454,True
0.52,6.96,0.0,-2.0,0.0,180.0,6.96,-180.0,-180.0,0.0,40.6375,3158.2,10.0806,1.0029,True
0.54,6.92,0.0,-2.0,0.0,180.0,6.92,-180.0,-180.0,0.0,40.1,3158.2,10.0806,0.9883,True
0.56,6.88,0.0,-2.0,0.0,180.0,6.88,-180.0,-180.0,0.0,40.1,3158.2,10.0806,0.9821,True
0.58,6.84,0.0,-2.0,0.0,180.0,6.84,-180.0,-180.0,0.0,40.1,3158.2,10.0806,0.9758,True
0.6,6.8,0.0,-2.0,0.0,180.0,6.8,-180.0,-180.0,0.0,57.3,3113.9,9.9392,1.4192,True
