t,robot_x,robot_y,robot_vx,robot_vy,heading_deg,distance_m,turret_yaw_deg,direct_yaw_deg,yaw_lead_deg,hood_pitch_deg,shooter_rpm,velocity_mps,tof_s,valid
0.0,7.0,-3.0,-1.5,1.0,180.0,7.6158,158.4591,156.8014,1.6577,26.3175,3999.8,12.7669,0.7349,True
0.05,6.925,-2.95,-1.5,1.0,180.0,7.5272,158.6018,156.9263,1.6754,26.1713,3999.8,12.7669,0.7246,True
0.1,6.85,-2.9,-1.5,1.0,180.0,7.4386,158.7479,157.0543,1.6936,26.0289,3999.9,12.7671,0.7143,True
0.15,6.775,-2.85,-1.5,1.0,180.0,7.35,158.8977,157.1853,1.7124,25.8924,3999.9,12.7671,0.7042,True
0.2,6.7,-2.8,-1.5,1.0,180.0,7.2615,159.0512,157.3194,1.7317,25.7616,3999.9,12.7672,0.6941,True
0.25,6.625,-2.75,-1.5,1.0,180.0,7.1731,159.2086,157.4569,1.7517,25.6366,3999.9,12.767,0.6841,True
0.3,6.55,-2.7,-1.5,1.0,180.0,7.0847,159.37,157.5979,1.7721,25.5154,3999.9,12.7672,0.6742,True
0.35,6.475,-2.65,-1.5,1.0,180.0,6.9963,159.5356,157.7424,1.7932,25.4,3999.9,12.7672,0.6643,True
0.4,6.4,-2.6,-1.5,1.0,180.0,6.908,159.7055,157.8906,1.815,25.2904,3999.9,12.7672,0.6546,True
0.45,6.325,-2.55,-1.5,1.0,180.0,6.8197,159.88,158.0426,1.8374,25.1865,3999.9,12.7672,0.6449,True
0.5,6.25,-2.5,-1.5,1.0,180.0,6.7315,160.0591,158.1986,1.8605,25.0884,3999.8,12.7669,0.6353,True
0.55,6.175,-2.45,-1.5,1.0,180.0,6.6433,160.243,158.3587,1.8843,24.9942,3999.9,12.7672,0.6258,True
0.6,6.1,-2.4,-1.5,1.0,180.0,6.5552,160.432,158.5232,1.9088,24.9057,4000.0,12.7673,0.6163,True
