t,robot_x,robot_y,robot_vx,robot_vy,heading_deg,distance_m,turret_yaw_deg,direct_yaw_deg,yaw_lead_deg,hood_pitch_deg,shooter_rpm,velocity_mps,tof_s,valid
0.0,4.0,0.0,2.0,0.0,0.0,4.0,-180.0,-180.0,0.0,48.7,2449.4,7.818,0.8234,True
0.02,4.04,0.0,2.0,0.0,0.0,4.04,-180.0,-180.0,0.0,57.3,2449.4,7.818,1.0234,True
0.04,4.08,0.0,2.0,0.0,0.0,4.08,-180.0,-180.0,0.0,57.3,2449.4,7.818,1.0342,True
0.06,4.12,0.0,2.0,0.0,0.0,4.12,-180.0,-180.0,0.0,46.55,2493.7,7.9594,0.7998,True
0.08,4.16,0.0,2.0,0.0,0.0,4.16,-180.0,-180.0,0.0,46.55,2493.7,7.9594,0.808,True
0.1,4.2,0.0,2.0,0.0,0.0,4.2,-180.0,-180.0,0.0,48.7,2493.7,7.9594,0.8517,True
0.12,4.24,0.0,2.0,0.0,0.0,4.24,-180.0,-180.0,0.0,57.3,2493.7,7.9594,1.0584,True
0.14,4.28,0.0,2.0,0.0,0.0,4.28,-180.0,-180.0,0.0,46.55,2538.0,8.1009,0.8183,True
0.16,4.32,0.0,2.0,0.0,0.0,4.32,-180.0,-180.0,0.0,46.55,2538.0,8.1009,0.8264,True
0.18,4.36,0.0,2.0,0.0,0.0,4.36,-180.0,-180.0,0.0,46.55,2538.0,8.1009,0.8345,True
0.2,4.4,0.0,2.0,0.0,0.0,4.4,-180.0,-180.0,0.0,57.3,2538.0,8.1009,1.0821,True
0.22,4.44,0.0,2.0,0.0,0.0,4.44,-180.0,-180.0,0.0,57.3,2538.0,8.1009,1.0926,True
0.24,4.48,0.0,2.0,0.0,0.0,4.48,-180.0,-180.0,0.0,45.475,2582.3,8.2423,0.8274,True
0.26,4.52,0.0,2.0,0.0,0.0,4.52,-180.0,-180.0,0.0,46.55,2582.3,8.2423,0.8523,True
0.28,4.56,0.0,2.0,0.0,0.0,4.56,-180.0,-180.0,0.0,46.55,2582.3,8.2423,0.8603,True
