t,robot_x,robot_y,robot_vx,robot_vy,heading_deg,distance_m,turret_yaw_deg,direct_yaw_deg,yaw_lead_deg,hood_pitch_deg,shooter_rpm,velocity_mps,tof_s,valid
0.0,5.0,2.0,0.0,0.0,0.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.05,5.0,2.0,0.0,0.0,4.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.1,5.0,2.0,0.0,0.0,9.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.15,5.0,2.0,0.0,0.0,13.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.2,5.0,2.0,0.0,0.0,18.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.25,5.0,2.0,0.0,0.0,22.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.3,5.0,2.0,0.0,0.0,27.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.35,5.0,2.0,0.0,0.0,31.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.4,5.0,2.0,0.0,0.0,36.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.45,5.0,2.0,0.0,0.0,40.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.5,5.0,2.0,0.0,0.0,45.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.55,5.0,2.0,0.0,0.0,49.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.6,5.0,2.0,0.0,0.0,54.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.65,5.0,2.0,0.0,0.0,58.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.7,5.0,2.0,0.0,0.0,63.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.75,5.0,2.0,0.0,0.0,67.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.8,5.0,2.0,0.0,0.0,72.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.85,5.0,2.0,0.0,0.0,76.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.9,5.0,2.0,0.0,0.0,81.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
0.95,5.0,2.0,0.0,0.0,85.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.0,5.0,2.0,0.0,0.0,90.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.05,5.0,2.0,0.0,0.0,94.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.1,5.0,2.0,0.0,0.0,99.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.15,5.0,2.0,0.0,0.0,103.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.2,5.0,2.0,0.0,0.0,108.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.25,5.0,2.0,0.0,0.0,112.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.3,5.0,2.0,0.0,0.0,117.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.35,5.0,2.0,0.0,0.0,121.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.4,5.0,2.0,0.0,0.0,126.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.45,5.0,2.0,0.0,0.0,130.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.5,5.0,2.0,0.0,0.0,135.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.55,5.0,2.0,0.0,0.0,139.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.6,5.0,2.0,0.0,0.0,144.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.65,5.0,2.0,0.0,0.0,148.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.7,5.0,2.0,0.0,0.0,153.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.75,5.0,2.0,0.0,0.0,157.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.8,5.0,2.0,0.0,0.0,162.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.85,5.0,2.0,0.0,0.0,166.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.9,5.0,2.0,0.0,0.0,171.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
1.95,5.0,2.0,0.0,0.0,175.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
2.0,5.0,2.0,0.0,0.0,180.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
2.05,5.0,2.0,0.0,0.0,184.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
2.1,5.0,2.0,0.0,0.0,189.0,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
2.15,5.0,2.0,0.0,0.0,193.5,5.3852,-158.1986,-158.1986,0.0,24.4402,3981.4,12.7082,0.4992,True
