t,robot_x,robot_y,robot_vx,robot_vy,heading_deg,distance_m,turret_yaw_deg,direct_yaw_deg,yaw_lead_deg,hood_pitch_deg,shooter_rpm,velocity_mps,tof_s,valid
0.0,5.0,-4.0,0.0,2.0,0.0,6.4031,157.8203,141.3402,16.4801,42.25,3025.3,9.6564,0.9808,True
0.02,5.0,-3.96,0.0,2.0,0.0,6.3782,157.7989,141.6208,16.1781,41.175,3025.3,9.6564,0.9597,True
0.04,5.0,-3.92,0.0,2.0,0.0,6.3535,158.1131,141.9036,16.2096,41.175,3025.3,9.6564,0.9557,True
0.06,5.0,-3.88,0.0,2.0,0.0,6.3289,158.4294,142.1885,16.2408,41.175,3025.3,9.6564,0.9517,True
0.08,5.0,-3.84,0.0,2.0,0.0,6.3044,158.7475,142.4757,16.2718,41.175,3025.3,9.6564,0.9477,True
0.1,5.0,-3.8,0.0,2.0,0.0,6.2801,159.0677,142.7652,16.3025,41.175,3025.3,9.6564,0.9437,True
0.12,5.0,-3.76,0.0,2.0,0.0,6.256,168.058,143.0568,25.0012,57.3,2981.0,9.515,1.3513,True
0.14,5.0,-3.72,0.0,2.0,0.0,6.232,168.3726,143.3508,25.0219,57.3,2981.0,9.515,1.3456,True
0.16,5.0,-3.68,0.0,2.0,0.0,6.2083,160.657,143.6469,17.0101,42.25,2981.0,9.515,0.9624,True
0.18,5.0,-3.64,0.0,2.0,0.0,6.1846,160.9849,143.9454,17.0395,42.25,2981.0,9.515,0.9584,True
0.2,5.0,-3.6,0.0,2.0,0.0,6.1612,161.1424,144.2461,16.8963,41.7125,2981.0,9.515,0.9461,True
0.22,5.0,-3.56,0.0,2.0,0.0,6.1379,161.3069,144.5491,16.7578,41.175,2981.0,9.515,0.9341,True
0.24,5.0,-3.52,0.0,2.0,0.0,6.1148,161.6407,144.8545,16.7863,41.175,2981.0,9.515,0.9303,True
0.26,5.0,-3.48,0.0,2.0,0.0,6.0918,161.9764,145.1621,16.8143,41.175,2981.0,9.515,0.9266,True
0.28,5.0,-3.44,0.0,2.0,0.0,6.0691,171.0536,145.472,25.5816,57.3,2936.7,9.3736,1.3264,True
0.3,5.0,-3.4,0.0,2.0,0.0,6.0465,171.3805,145.7843,25.5962,57.3,2936.7,9.3736,1.321,True
0.32,5.0,-3.36,0.0,2.0,0.0,6.0241,163.6262,146.0989,17.5273,42.25,2936.7,9.3736,0.9455,True
0.34,5.0,-3.32,0.0,2.0,0.0,6.0019,163.9694,146.4158,17.5535,42.25,2936.7,9.3736,0.9417,True
0.36,5.0,-3.28,0.0,2.0,0.0,5.9798,164.3144,146.7351,17.5793,42.25,2936.7,9.3736,0.938,True
0.38,5.0,-3.24,0.0,2.0,0.0,5.958,164.6613,147.0568,17.6045,42.25,2936.7,9.3736,0.9343,True
0.4,5.0,-3.2,0.0,2.0,0.0,5.9363,165.0101,147.3808,17.6293,42.25,2936.7,9.3736,0.9306,True
0.42,5.0,-3.16,0.0,2.0,0.0,5.9149,165.0171,147.7071,17.31,41.175,2936.7,9.3736,0.9109,True
0.44,5.0,-3.12,0.0,2.0,0.0,5.8936,165.3699,148.0358,17.3341,41.175,2936.7,9.3736,0.9074,True
0.46,5.0,-3.08,0.0,2.0,0.0,5.8725,174.4898,148.3669,26.1229,57.3,2892.4,9.2321,1.2988,True
