distance_m,v_radial_mps,delta_pitch_rad,delta_rpm,delta_vel_mps,tof_s
1.50000000,-3.00000000,0.00000000,0.00000000,0.00000000,0.50654831
1.50000000,-2.50000000,0.00000000,0.00000000,0.00000000,0.50654831
1.50000000,-2.00000000,0.00000000,0.00000000,0.00000000,0.50654831
1.50000000,-1.50000000,0.00000000,0.00000000,0.00000000,0.50654831
1.50000000,-1.00000000,0.16250916,-147.32742310,-0.47024823,0.50729973
1.50000000,-0.50000000,0.07811584,-79.89120483,-0.25500139,0.50690681
1.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50654831
1.50000000,0.50000000,-0.07177124,91.20559692,0.29111533,0.50610053
1.50000000,1.00000000,-0.13723145,192.42858887,0.61420476,0.50566126
1.50000000,1.50000000,-0.19668274,302.52456665,0.96561550,0.50523429
1.50000000,2.00000000,-0.25059509,420.58563232,1.34244967,0.50476922
1.50000000,2.50000000,-0.29940491,545.64666748,1.74162676,0.50430897
1.50000000,3.00000000,-0.34361572,676.99432373,2.16086984,0.50383515
1.75000000,-3.00000000,0.00000000,0.00000000,0.00000000,0.50612789
1.75000000,-2.50000000,0.00000000,0.00000000,0.00000000,0.50612789
1.75000000,-2.00000000,0.00000000,0.00000000,0.00000000,0.50612789
1.75000000,-1.50000000,0.23428040,-237.88833618,-0.75930582,0.50729496
1.75000000,-1.00000000,0.14992065,-170.67718506,-0.54477736,0.50694182
1.75000000,-0.50000000,0.07177124,-90.96527100,-0.29034824,0.50655186
1.75000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50612789
1.75000000,0.50000000,-0.06549377,101.01699829,0.32243193,0.50568226
1.75000000,1.00000000,-0.12501221,210.96801758,0.67337998,0.50521961
1.75000000,1.50000000,-0.17895813,328.82308960,1.04955665,0.50475678
1.75000000,2.00000000,-0.22780151,453.67431641,1.44806406,0.50429989
1.75000000,2.50000000,-0.27204590,584.81597900,1.86664964,0.50382842
1.75000000,3.00000000,-0.31216125,721.61102295,2.30328001,0.50334204
2.00000000,-3.00000000,0.00000000,0.00000000,0.00000000,0.50570422
2.00000000,-2.50000000,0.00000000,0.00000000,0.00000000,0.50570422
2.00000000,-2.00000000,0.29977417,-338.13858032,-1.07929038,0.50730948
2.00000000,-1.50000000,0.21541443,-271.08764648,-0.86527331,0.50693422
2.00000000,-1.00000000,0.13726501,-191.55883789,-0.61142864,0.50654425
2.00000000,-0.50000000,0.06549377,-100.79193115,-0.32171355,0.50613078
2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50570422
2.00000000,0.50000000,-0.05955200,109.77172852,0.35037578,0.50523016
2.00000000,1.00000000,-0.11349792,227.36358643,0.72571231,0.50479516
2.00000000,1.50000000,-0.16240845,352.11181641,1.12389097,0.50429819
2.00000000,2.00000000,-0.20668640,483.07418823,1.54190428,0.50382179
2.00000000,2.50000000,-0.24680176,619.57168579,1.97758493,0.50336642
2.00000000,3.00000000,-0.28325806,761.24191284,2.42977619,0.50286996
2.25000000,-3.00000000,0.00000000,0.00000000,0.00000000,0.50523381
2.25000000,-2.50000000,0.35925903,-447.02148438,-1.42682916,0.50729898
2.25000000,-2.00000000,0.27493286,-380.12313843,-1.21329913,0.50692332
2.25000000,-1.50000000,0.19681702,-300.77362061,-0.96002673,0.50654889
2.25000000,-1.00000000,0.12504578,-210.17456055,-0.67084738,0.50612556
2.25000000,-0.50000000,0.05955200,-109.56573486,-0.34971828,0.50569938
2.25000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50523381
2.25000000,0.50000000,-0.05397949,117.44689941,0.37487384,0.50477711
2.25000000,1.00000000,-0.10285645,241.87088013,0.77201754,0.50433142
2.25000000,1.50000000,-0.14716797,372.66540527,1.18949511,0.50384029
2.25000000,2.00000000,-0.18731689,509.00650024,1.62467654,0.50337018
2.25000000,2.50000000,-0.22380676,650.52795410,2.07639294,0.50285928
2.25000000,3.00000000,-0.25697327,796.50497437,2.54233088,0.50237945
2.50000000,-3.00000000,0.41313782,-563.50326538,-1.79862248,0.50729367
2.50000000,-2.50000000,0.32887878,-496.75750732,-1.58557949,0.50695256
2.50000000,-2.00000000,0.25076294,-417.52624512,-1.33268454,0.50654239
2.50000000,-1.50000000,0.17902527,-327.10266113,-1.04406529,0.50613747
2.50000000,-1.00000000,0.11353149,-226.65023804,-0.72343541,0.50570344
