distance_m,pitch_rad,pitch_deg,velocity_mps,rpm,rps,tof_s,apex_m
1.5000,1.03329468,59.2034,5.949497,1863.96,31.0660,0.506548,1.7788
1.5500,1.01862488,58.3629,6.004228,1881.11,31.3518,0.506467,1.7788
1.6000,1.00419006,57.5359,6.060371,1898.70,31.6449,0.506370,1.7788
1.6500,0.99002380,56.7242,6.117793,1916.69,31.9448,0.506292,1.7788
1.7000,0.97609253,55.9260,6.176579,1935.10,32.2517,0.506198,1.7788
1.7500,0.96242981,55.1432,6.236545,1953.89,32.5649,0.506128,1.7788
1.8000,0.94900208,54.3738,6.297815,1973.09,32.8848,0.506044,1.7788
1.8500,0.93580933,53.6179,6.360351,1992.68,33.2113,0.505950,1.7788
1.9000,0.92285156,52.8755,6.424104,2012.65,33.5442,0.505849,1.7788
1.9500,0.91016235,52.1485,6.488892,2032.95,33.8825,0.505778,1.7788
2.0000,0.89770813,51.4349,6.554813,2053.60,34.2267,0.505704,1.7788
2.0500,0.88545532,50.7329,6.622024,2074.66,34.5777,0.505596,1.7788
2.1000,0.87347107,50.0462,6.690112,2095.99,34.9332,0.505526,1.7788
2.1500,0.86168823,49.3711,6.759418,2117.71,35.2951,0.505428,1.7788
2.2000,0.85014038,48.7095,6.829686,2139.72,35.6620,0.505342,1.7788
2.2500,0.83879395,48.0594,6.901098,2162.09,36.0349,0.505234,1.7788
2.3000,0.82768250,47.4227,6.973399,2184.75,36.4124,0.505143,1.7788
2.3500,0.81680603,46.7995,7.046515,2207.65,36.7942,0.505073,1.7788
2.4000,0.80609741,46.1860,7.120862,2230.95,37.1824,0.504960,1.7788
2.4500,0.79562378,45.5859,7.195951,2254.47,37.5745,0.504874,1.7788
2.5000,0.78535156,44.9973,7.271929,2278.27,37.9712,0.504787,1.7788
2.5500,0.77528076,44.4203,7.348784,2302.35,38.3725,0.504701,1.7788
2.6000,0.76541138,43.8548,7.426442,2326.68,38.7781,0.504621,1.7788
2.6500,0.75570984,43.2990,7.505136,2351.34,39.1890,0.504516,1.7788
2.7000,0.74620972,42.7547,7.584535,2376.21,39.6036,0.504425,1.7788
2.7500,0.73687744,42.2200,7.664884,2401.39,40.0231,0.504316,1.7788
2.8000,0.72774658,41.6968,7.745842,2426.75,40.4458,0.504228,1.7788
2.8500,0.71878357,41.1833,7.827640,2452.38,40.8730,0.504131,1.7788
2.9000,0.70998840,40.6793,7.910242,2478.26,41.3043,0.504028,1.7788
2.9500,0.70139465,40.1870,7.993295,2504.28,41.7379,0.503957,1.7788
3.0000,0.69293518,39.7023,8.077370,2530.62,42.1769,0.503852,1.7788
3.0500,0.68464355,39.2272,8.162102,2557.16,42.6194,0.503753,1.7788
3.1000,0.67651978,38.7617,8.247432,2583.90,43.0649,0.503663,1.7788
3.1500,0.66856384,38.3059,8.333296,2610.80,43.5133,0.503586,1.7788
3.2000,0.66074219,37.8577,8.420002,2637.96,43.9660,0.503491,1.7788
3.2500,0.65305481,37.4173,8.507522,2665.38,44.4230,0.503379,1.7788
3.3000,0.64553528,36.9864,8.595421,2692.92,44.8820,0.503292,1.7788
3.3500,0.63815002,36.5633,8.684025,2720.68,45.3447,0.503197,1.7788
3.4000,0.63089905,36.1479,8.773287,2748.65,45.8108,0.503096,1.7788
3.4500,0.62378235,35.7401,8.863183,2776.81,46.2802,0.502994,1.7788
3.5000,0.61679993,35.3400,8.953638,2805.15,46.7525,0.502893,1.7788
3.5500,0.60995178,34.9477,9.044605,2833.65,47.2275,0.502797,1.7788
3.6000,0.60323792,34.5630,9.136034,2862.29,47.7049,0.502710,1.7788
3.6500,0.59662476,34.1841,9.228328,2891.21,48.1868,0.502597,1.7788
3.7000,0.59014587,33.8129,9.320987,2920.24,48.6706,0.502499,1.7788
3.7500,0.58380127,33.4493,9.413951,2949.36,49.1561,0.502418,1.7788
3.8000,0.57755737,33.0916,9.507645,2978.72,49.6453,0.502321,1.7788
3.8500,0.57141418,32.7396,9.602045,3008.29,50.1382,0.502210,1.7788
3.9000,0.56540527,32.3953,9.696567,3037.91,50.6318,0.502127,1.7788
3.9500,0.55949707,32.0568,9.791710,3067.71,51.1286,0.502035,1.7788
4.0000,0.55368958,31.7241,9.887401,3097.69,51.6282,0.501939,1.7788
4.0500,0.54798279,31.3971,9.983628,3127.84,52.1307,0.501838,1.7788
4.1000,0.54237671,31.0759,10.080317,3158.13,52.6356,0.501739,1.7788
4.1500,0.53687134,30.7605,10.177421,3188.56,53.1426,0.501643,1.7788
4.2000,0.53146667,30.4508,10.274914,3219.10,53.6517,0.501551,1.7788
4.2500,0.52612915,30.1450,10.373344,3249.94,54.1656,0.501428,1.7788
4.3000,0.52092590,29.8469,10.471434,3280.67,54.6778,0.501356,1.7788
4.3500,0.51578979,29.5526,10.570376,3311.67,55.1945,0.501257,1.7788
4.4000,0.51072083,29.2621,10.670158,3342.93,55.7155,0.501132,1.7788
4.4500,0.50578613,28.9794,10.769404,3374.02,56.2337,0.501067,1.7788
4.5000,0.50088501,28.6986,10.870087,3405.57,56.7595,0.500940,1.7788
4.5500,0.49608459,28.4236,10.970807,3437.12,57.2854,0.500837,1.7788
4.6000,0.49138489,28.1543,11.071490,3468.67,57.8111,0.500759,1.7788
4.6500,0.48675232,27.8889,11.172818,3500.41,58.3402,0.500667,1.7788
4.7000,0.48218689,27.6273,11.274744,3532.34,58.8724,0.500563,1.7788
4.7500,0.47768860,27.3695,11.377241,3564.46,59.4076,0.500450,1.7788
4.8000,0.47329102,27.1176,11.479495,3596.49,59.9415,0.500372,1.7788
4.8500,0.46892700,26.8675,11.583039,3628.93,60.4822,0.500244,1.7788
4.9000,0.46466370,26.6233,11.686218,3661.26,61.0210,0.500157,1.7788
4.9500,0.46046753,26.3828,11.789812,3693.71,61.5619,0.500067,1.7788
5.0000,0.45633850,26.1463,11.893770,3726.28,62.1047,0.499977,1.7788
5.0500,0.45224304,25.9116,11.998910,3759.22,62.6537,0.499846,1.7788
5.1000,0.44824829,25.6827,12.103465,3791.98,63.1997,0.499763,1.7788
5.1500,0.44428711,25.4558,12.209164,3825.10,63.7516,0.499640,1.7788
5.2000,0.44042664,25.2346,12.314158,3857.99,64.2998,0.499570,1.7788
5.2500,0.43659973,25.0153,12.420223,3891.22,64.8537,0.499465,1.7788
