distance_m,pitch_rad,pitch_deg,velocity_mps,rpm,rps,tof_s,apex_m
0.7000,1.26972703,72.7500,9.065594,4484.57,74.7428,0.277339,3.9519
0.7500,1.26972703,72.7500,8.044515,3979.46,66.3243,0.335768,3.2567
0.8000,1.44827387,82.9800,7.348302,3635.06,60.5843,1.059013,2.9924
0.8500,1.44163514,82.5996,7.356243,3638.98,60.6497,1.059647,2.9938
0.9000,1.43464701,82.1992,7.356884,3639.30,60.6550,1.058010,2.9900
0.9500,1.42905650,81.8789,7.385841,3653.63,60.8938,1.064680,3.0054
1.0000,1.42206837,81.4785,7.386460,3653.93,60.8989,1.062840,3.0011
1.0500,1.41508023,81.0781,7.387938,3654.66,60.9110,1.061132,2.9972
1.1000,1.40948972,80.7578,7.413844,3667.48,61.1246,1.066650,3.0099
1.1500,1.40250159,80.3574,7.415566,3668.33,61.1388,1.064815,3.0057
1.2000,1.39551346,79.9570,7.418068,3669.57,61.1595,1.063082,3.0016
1.2500,1.38852532,79.5566,7.421275,3671.15,61.1859,1.061436,2.9978
1.3000,1.38153719,79.1562,7.425152,3673.07,61.2179,1.059864,2.9942
1.3500,1.37594668,78.8359,7.448423,3684.58,61.4097,1.064185,3.0042
1.4000,1.36895854,78.4355,7.452677,3686.69,61.4448,1.062516,3.0003
1.4500,1.36197041,78.0352,7.457562,3689.10,61.4851,1.060907,2.9966
1.5000,1.35637990,77.7148,7.479726,3700.07,61.6678,1.064637,3.0052
1.5500,1.34939177,77.3145,7.485074,3702.71,61.7119,1.062951,3.0013
1.6000,1.34240363,76.9141,7.491012,3705.65,61.7609,1.061316,2.9976
1.6500,1.33681312,76.5938,7.512459,3716.26,61.9377,1.064562,3.0051
1.7000,1.32842736,76.1133,7.504582,3712.36,61.8727,1.058165,2.9904
1.7500,1.32283685,75.7930,7.525946,3722.93,62.0489,1.061201,2.9974
1.8000,1.31724635,75.4727,7.546962,3733.33,62.2221,1.064044,3.0039
1.8500,1.30886059,74.9922,7.541631,3730.69,62.1782,1.057978,2.9900
1.9000,1.30327008,74.6719,7.562685,3741.11,62.3518,1.060641,2.9961
1.9500,1.29767957,74.3516,7.583484,3751.40,62.5233,1.063138,3.0019
2.0000,1.29208906,74.0312,7.603979,3761.53,62.6922,1.065453,3.0073
2.0500,1.28370330,73.5508,7.601392,3760.25,62.6709,1.059660,2.9939
2.1000,1.27811279,73.2305,7.622166,3770.53,62.8422,1.061855,2.9990
2.1500,1.27252228,72.9102,7.642767,3780.72,63.0120,1.063918,3.0038
2.2000,1.26413652,72.4297,7.642455,3780.57,63.0094,1.058350,2.9910
2.2500,1.25854602,72.1094,7.663297,3790.88,63.1813,1.060283,2.9955
2.3000,1.25295551,71.7891,7.684077,3801.16,63.3526,1.062092,2.9997
2.3500,1.24736500,71.4688,7.704759,3811.39,63.5231,1.063790,3.0036
2.4000,1.24177449,71.1484,7.725380,3821.59,63.6931,1.065380,3.0073
2.4500,1.23338873,70.6680,7.728009,3822.89,63.7148,1.059993,2.9949
2.5000,1.22779822,70.3477,7.749027,3833.29,63.8881,1.061473,2.9984
2.5500,1.22220771,70.0273,7.770016,3843.67,64.0611,1.062857,3.0016
2.6000,1.21661721,69.7070,7.790993,3854.05,64.2341,1.064149,3.0046
2.6500,1.20823145,69.2266,7.796154,3856.60,64.2767,1.058907,2.9926
2.7000,1.20264094,68.9062,7.817563,3867.19,64.4532,1.060104,2.9954
2.7500,1.19705043,68.5859,7.839037,3877.81,64.6302,1.061212,2.9980
