t,id,x,y,z
0.0000,0,4.7651,9.5542,0.6052
0.0200,0,4.5331,9.1140,0.7051
0.0400,0,4.3040,8.6793,0.7999
0.0600,0,4.0776,8.2497,0.8896
0.0800,0,3.8540,7.8254,0.9743
0.1000,0,3.6329,7.4060,1.0541
0.1200,0,3.4145,6.9915,1.1291
0.1400,0,3.1986,6.5818,1.1992
0.1600,0,2.9851,6.1767,1.2647
0.1800,0,2.7740,5.7762,1.3254
0.2000,0,2.5653,5.3801,1.3816
0.2200,0,2.3588,4.9883,1.4333
0.2400,0,2.1546,4.6008,1.4804
0.2600,0,1.9525,4.2174,1.5231
0.2800,0,1.7526,3.8380,1.5615
0.3000,0,1.5547,3.4626,1.5955
0.3200,0,1.3589,3.0911,1.6253
0.3400,0,1.1651,2.7233,1.6508
0.3600,0,0.9733,2.3593,1.6722
0.3800,0,0.7834,1.9989,1.6894
0.4000,0,0.5953,1.6420,1.7025
0.4000,1,4.7598,8.4002,0.6045
0.4200,0,0.4091,1.2887,1.7116
0.4200,1,4.5224,8.0051,0.7038
0.4400,0,0.2247,0.9388,1.7166
0.4400,1,4.2877,7.6144,0.7981
0.4600,0,0.0420,0.5922,1.7177
0.4600,1,4.0556,7.2282,0.8874
0.4800,0,-0.1389,0.2489,1.7149
0.4800,1,3.8261,6.8463,0.9718
0.5000,0,-0.3181,-0.0912,1.7081
0.5000,1,3.5992,6.4686,1.0513
0.5200,0,-0.4956,-0.4281,1.6975
0.5200,1,3.3747,6.0949,1.1261
0.5400,0,-0.6716,-0.7618,1.6831
0.5400,1,3.1526,5.7253,1.1961
0.5600,0,-0.8459,-1.0926,1.6648
0.5600,1,2.9328,5.3596,1.2614
0.5800,0,-1.0186,-1.4203,1.6429
0.5800,1,2.7154,4.9977,1.3222
0.6000,0,-1.1897,-1.7451,1.6171
0.6000,1,2.5002,4.6395,1.3784
0.6200,0,-1.3594,-2.0670,1.5877
0.6200,1,2.2872,4.2850,1.4301
0.6400,0,-1.5275,-2.3860,1.5547
0.6400,1,2.0763,3.9341,1.4773
0.6600,0,-1.6942,-2.7023,1.5180
0.6600,1,1.8676,3.5867,1.5202
0.6800,0,-1.8594,-3.0158,1.4776
0.6800,1,1.6609,3.2427,1.5587
0.7000,0,-2.0232,-3.3266,1.4338
0.7000,1,1.4563,2.9020,1.5929
0.7200,0,-2.1856,-3.6347,1.3863
0.7200,1,1.2536,2.5647,1.6228
0.7400,0,-2.3466,-3.9402,1.3354
0.7400,1,1.0528,2.2306,1.6486
0.7600,0,-2.5062,-4.2431,1.2809
0.7600,1,0.8540,1.8996,1.6702
0.7800,0,-2.6645,-4.5434,1.2230
0.7800,1,0.6570,1.5718,1.6876
0.8000,0,-2.8215,-4.8413,1.1617
0.8000,1,0.4618,1.2470,1.7010
0.8000,2,4.7637,7.2613,0.6036
0.8200,0,-2.9771,-5.1367,1.0969
0.8200,1,0.2685,0.9252,1.7103
0.8200,2,4.5298,6.9262,0.7022
0.8400,0,-3.1315,-5.4297,1.0287
0.8400,1,0.0769,0.6063,1.7156
0.8400,2,4.2983,6.5944,0.7959
0.8600,0,-3.2846,-5.7202,0.9572
0.8600,1,-0.1130,0.2902,1.7169
0.8600,2,4.0692,6.2660,0.8847
0.8800,0,-3.4365,-6.0084,0.8823
0.8800,1,-0.3012,-0.0230,1.7143
0.8800,2,3.8423,5.9409,0.9687
0.9000,0,-3.5872,-6.2943,0.8042
0.9000,1,-0.4877,-0.3334,1.7078
0.9000,2,3.6176,5.6189,1.0479
0.9200,0,-3.7366,-6.5778,0.7227
0.9200,1,-0.6726,-0.6411,1.6975
0.9200,2,3.3952,5.3001,1.1225
0.9400,0,-3.8849,-6.8591,0.6379
0.9400,1,-0.8559,-0.9461,1.6833
0.9400,2,3.1748,4.9843,1.1924
0.9600,0,-4.0319,-7.1382,0.5499
0.9600,1,-1.0376,-1.2485,1.6653
0.9600,2,2.9566,4.6715,1.2578
0.9800,0,-4.1778,-7.4150,0.4587
0.9800,1,-1.2177,-1.5483,1.6435
0.9800,2,2.7403,4.3617,1.3186
1.0000,0,-4.3225,-7.6896,0.3643
1.0000,1,-1.3963,-1.8456,1.6180
1.0000,2,2.5261,4.0547,1.3749
1.0200,0,-4.4661,-7.9621,0.2667
1.0200,1,-1.5734,-2.1404,1.5887
1.0200,2,2.3139,3.7506,1.4268
1.0400,0,-4.6086,-8.2325,0.1659
1.0400,1,-1.7491,-2.4327,1.5558
1.0400,2,2.1036,3.4492,1.4742
1.0600,0,-4.7500,-8.5007,0.0620
1.0600,1,-1.9232,-2.7225,1.5193
1.0600,2,1.8952,3.1505,1.5174
1.0800,1,-2.0960,-3.0100,1.4791
1.0800,2,1.6886,2.8544,1.5562
1.1000,1,-2.2673,-3.2951,1.4353
1.1000,2,1.4838,2.5610,1.5907
1.1200,1,-2.4372,-3.5779,1.3880
1.1200,2,1.2809,2.2701,1.6211
1.1400,1,-2.6057,-3.8585,1.3371
1.1400,2,1.0796,1.9817,1.6472
1.1600,1,-2.7729,-4.1368,1.2827
1.1600,2,0.8801,1.6958,1.6692
1.1800,1,-2.9388,-4.4128,1.2248
1.1800,2,0.6823,1.4123,1.6871
1.2000,1,-3.1034,-4.6867,1.1635
1.2000,2,0.4862,1.1312,1.7009
1.2000,3,4.7678,6.1204,0.6028
1.2200,1,-3.2666,-4.9584,1.0987
1.2200,2,0.2916,0.8524,1.7107
1.2200,3,4.5377,5.8434,0.7007
1.2400,1,-3.4286,-5.2280,1.0305
1.2400,2,0.0987,0.5760,1.7164
1.2400,3,4.3097,5.5689,0.7938
1.2600,1,-3.5893,-5.4955,0.9589
1.2600,2,-0.0927,0.3017,1.7182
1.2600,3,4.0838,5.2968,0.8821
1.2800,1,-3.7488,-5.7609,0.8839
1.2800,2,-0.2825,0.0297,1.7161
1.2800,3,3.8598,5.0271,0.9658
1.3000,1,-3.9070,-6.0242,0.8056
1.3000,2,-0.4707,-0.2401,1.7101
1.3000,3,3.6378,4.7598,1.0447
1.3200,1,-4.0640,-6.2856,0.7240
1.3200,2,-0.6575,-0.5077,1.7001
1.3200,3,3.4177,4.4948,1.1191
1.3400,1,-4.2199,-6.5449,0.6390
1.3400,2,-0.8428,-0.7733,1.6864
1.3400,3,3.1995,4.2321,1.1889
1.3600,1,-4.3745,-6.8023,0.5508
1.3600,2,-1.0266,-1.0367,1.6688
1.3600,3,2.9831,3.9716,1.2542
1.3800,1,-4.5280,-7.0577,0.4593
1.3800,2,-1.2090,-1.2982,1.6474
1.3800,3,2.7686,3.7132,1.3151
1.4000,1,-4.6803,-7.3112,0.3646
1.4000,2,-1.3900,-1.5575,1.6223
1.4000,3,2.5558,3.4570,1.3715
1.4200,1,-4.8314,-7.5627,0.2667
1.4200,2,-1.5696,-1.8149,1.5934
1.4200,3,2.3447,3.2029,1.4235
1.4400,1,-4.9814,-7.8124,0.1656
1.4400,2,-1.7479,-2.0704,1.5608
1.4400,3,2.1354,2.9508,1.4712
1.4600,1,-5.1303,-8.0602,0.0613
1.4600,2,-1.9248,-2.3239,1.5246
1.4600,3,1.9277,2.7008,1.5146
1.4800,2,-2.1003,-2.5754,1.4847
1.4800,3,1.7217,2.4528,1.5537
