t,x,y,heading,turret_yaw,pitch,target_x,target_y,target_z
0.0000,5.0000,10.0000,3.1416,-2.1169,0.2367,0.0000,0.0000,1.8300
0.0200,5.0000,9.9400,3.1416,-2.1198,0.2367,0.0000,0.0000,1.8300
0.0400,5.0000,9.8800,3.1416,-2.1227,0.2366,0.0000,0.0000,1.8300
0.0600,5.0000,9.8200,3.1416,-2.1256,0.2365,0.0000,0.0000,1.8300
0.0800,5.0000,9.7600,3.1416,-2.1285,0.2365,0.0000,0.0000,1.8300
0.1000,5.0000,9.7000,3.1416,-2.1315,0.2365,0.0000,0.0000,1.8300
0.1200,5.0000,9.6400,3.1416,-2.1345,0.2365,0.0000,0.0000,1.8300
0.1400,5.0000,9.5800,3.1416,-2.1375,0.2366,0.0000,0.0000,1.8300
0.1600,5.0000,9.5200,3.1416,-2.1410,0.2379,0.0000,0.0000,1.8300
0.1800,5.0000,9.4600,3.1416,-2.1444,0.2392,0.0000,0.0000,1.8300
0.2000,5.0000,9.4000,3.1416,-2.1479,0.2406,0.0000,0.0000,1.8300
0.2200,5.0000,9.3400,3.1416,-2.1515,0.2419,0.0000,0.0000,1.8300
0.2400,5.0000,9.2800,3.1416,-2.1551,0.2433,0.0000,0.0000,1.8300
0.2600,5.0000,9.2200,3.1416,-2.1587,0.2447,0.0000,0.0000,1.8300
0.2800,5.0000,9.1600,3.1416,-2.1624,0.2460,0.0000,0.0000,1.8300
0.3000,5.0000,9.1000,3.1416,-2.1661,0.2474,0.0000,0.0000,1.8300
0.3200,5.0000,9.0400,3.1416,-2.1698,0.2488,0.0000,0.0000,1.8300
0.3400,5.0000,8.9800,3.1416,-2.1736,0.2502,0.0000,0.0000,1.8300
0.3600,5.0000,8.9200,3.1416,-2.1774,0.2516,0.0000,0.0000,1.8300
0.3800,5.0000,8.8600,3.1416,-2.1813,0.2531,0.0000,0.0000,1.8300
0.4000,5.0000,8.8000,3.1416,-2.1852,0.2545,0.0000,0.0000,1.8300
0.4200,5.0000,8.7400,3.1416,-2.1891,0.2560,0.0000,0.0000,1.8300
0.4400,5.0000,8.6800,3.1416,-2.1931,0.2574,0.0000,0.0000,1.8300
0.4600,5.0000,8.6200,3.1416,-2.1972,0.2589,0.0000,0.0000,1.8300
0.4800,5.0000,8.5600,3.1416,-2.2013,0.2604,0.0000,0.0000,1.8300
0.5000,5.0000,8.5000,3.1416,-2.2054,0.2619,0.0000,0.0000,1.8300
0.5200,5.0000,8.4400,3.1416,-2.2095,0.2634,0.0000,0.0000,1.8300
0.5400,5.0000,8.3800,3.1416,-2.2138,0.2649,0.0000,0.0000,1.8300
0.5600,5.0000,8.3200,3.1416,-2.2180,0.2665,0.0000,0.0000,1.8300
0.5800,5.0000,8.2600,3.1416,-2.2223,0.2680,0.0000,0.0000,1.8300
0.6000,5.0000,8.2000,3.1416,-2.2267,0.2696,0.0000,0.0000,1.8300
0.6200,5.0000,8.1400,3.1416,-2.2311,0.2711,0.0000,0.0000,1.8300
0.6400,5.0000,8.0800,3.1416,-2.2356,0.2727,0.0000,0.0000,1.8300
0.6600,5.0000,8.0200,3.1416,-2.2401,0.2743,0.0000,0.0000,1.8300
0.6800,5.0000,7.9600,3.1416,-2.2446,0.2759,0.0000,0.0000,1.8300
0.7000,5.0000,7.9000,3.1416,-2.2492,0.2776,0.0000,0.0000,1.8300
0.7200,5.0000,7.8400,3.1416,-2.2539,0.2792,0.0000,0.0000,1.8300
0.7400,5.0000,7.7800,3.1416,-2.2586,0.2808,0.0000,0.0000,1.8300
0.7600,5.0000,7.7200,3.1416,-2.2634,0.2825,0.0000,0.0000,1.8300
0.7800,5.0000,7.6600,3.1416,-2.2682,0.2842,0.0000,0.0000,1.8300
0.8000,5.0000,7.6000,3.1416,-2.2730,0.2859,0.0000,0.0000,1.8300
0.8200,5.0000,7.5400,3.1416,-2.2780,0.2875,0.0000,0.0000,1.8300
0.8400,5.0000,7.4800,3.1416,-2.2829,0.2892,0.0000,0.0000,1.8300
0.8600,5.0000,7.4200,3.1416,-2.2880,0.2909,0.0000,0.0000,1.8300
0.8800,5.0000,7.3600,3.1416,-2.2931,0.2927,0.0000,0.0000,1.8300
0.9000,5.0000,7.3000,3.1416,-2.2982,0.2944,0.0000,0.0000,1.8300
0.9200,5.0000,7.2400,3.1416,-2.3034,0.2962,0.0000,0.0000,1.8300
0.9400,5.0000,7.1800,3.1416,-2.3087,0.2979,0.0000,0.0000,1.8300
0.9600,5.0000,7.1200,3.1416,-2.3140,0.2997,0.0000,0.0000,1.8300
0.9800,5.0000,7.0600,3.1416,-2.3194,0.3015,0.0000,0.0000,1.8300
1.0000,5.0000,7.0000,3.1416,-2.3249,0.3033,0.0000,0.0000,1.8300
1.0200,5.0000,6.9400,3.1416,-2.3304,0.3051,0.0000,0.0000,1.8300
1.0400,5.0000,6.8800,3.1416,-2.3360,0.3069,0.0000,0.0000,1.8300
1.0600,5.0000,6.8200,3.1416,-2.3416,0.3087,0.0000,0.0000,1.8300
1.0800,5.0000,6.7600,3.1416,-2.3473,0.3106,0.0000,0.0000,1.8300
1.1000,5.0000,6.7000,3.1416,-2.3531,0.3125,0.0000,0.0000,1.8300
1.1200,5.0000,6.6400,3.1416,-2.3589,0.3143,0.0000,0.0000,1.8300
1.1400,5.0000,6.5800,3.1416,-2.3648,0.3162,0.0000,0.0000,1.8300
1.1600,5.0000,6.5200,3.1416,-2.3707,0.3181,0.0000,0.0000,1.8300
1.1800,5.0000,6.4600,3.1416,-2.3768,0.3200,0.0000,0.0000,1.8300
1.2000,5.0000,6.4000,3.1416,-2.3829,0.3219,0.0000,0.0000,1.8300
1.2200,5.0000,6.3400,3.1416,-2.3890,0.3238,0.0000,0.0000,1.8300
1.2400,5.0000,6.2800,3.1416,-2.3953,0.3257,0.0000,0.0000,1.8300
1.2600,5.0000,6.2200,3.1416,-2.4016,0.3277,0.0000,0.0000,1.8300
1.2800,5.0000,6.1600,3.1416,-2.4079,0.3296,0.0000,0.0000,1.8300
1.3000,5.0000,6.1000,3.1416,-2.4144,0.3315,0.0000,0.0000,1.8300
1.3200,5.0000,6.0400,3.1416,-2.4209,0.3335,0.0000,0.0000,1.8300
1.3400,5.0000,5.9800,3.1416,-2.4275,0.3355,0.0000,0.0000,1.8300
1.3600,5.0000,5.9200,3.1416,-2.4341,0.3374,0.0000,0.0000,1.8300
1.3800,5.0000,5.8600,3.1416,-2.4409,0.3394,0.0000,0.0000,1.8300
1.4000,5.0000,5.8000,3.1416,-2.4477,0.3414,0.0000,0.0000,1.8300
1.4200,5.0000,5.7400,3.1416,-2.4546,0.3434,0.0000,0.0000,1.8300
1.4400,5.0000,5.6800,3.1416,-2.4615,0.3454,0.0000,0.0000,1.8300
1.4600,5.0000,5.6200,3.1416,-2.4686,0.3474,0.0000,0.0000,1.8300
1.4800,5.0000,5.5600,3.1416,-2.4757,0.3495,0.0000,0.0000,1.8300
1.5000,5.0000,5.5000,3.1416,-2.4829,0.3515,0.0000,0.0000,1.8300
1.5200,5.0000,5.4400,3.1416,-2.4901,0.3535,0.0000,0.0000,1.8300
1.5400,5.0000,5.3800,3.1416,-2.4975,0.3556,0.0000,0.0000,1.8300
1.5600,5.0000,5.3200,3.1416,-2.5049,0.3576,0.0000,0.0000,1.8300
1.5800,5.0000,5.2600,3.1416,-2.5124,0.3596,0.0000,0.0000,1.8300
1.6000,5.0000,5.2000,3.1416,-2.5200,0.3617,0.0000,0.0000,1.8300
1.6200,5.0000,5.1400,3.1416,-2.5276,0.3637,0.0000,0.0000,1.8300
1.6400,5.0000,5.0800,3.1416,-2.5354,0.3658,0.0000,0.0000,1.8300
1.6600,5.0000,5.0200,3.1416,-2.5432,0.3678,0.0000,0.0000,1.8300
1.6800,5.0000,4.9600,3.1416,-2.5511,0.3698,0.0000,0.0000,1.8300
1.7000,5.0000,4.9000,3.1416,-2.5590,0.3719,0.0000,0.0000,1.8300
1.7200,5.0000,4.8400,3.1416,-2.5671,0.3739,0.0000,0.0000,1.8300
1.7400,5.0000,4.7800,3.1416,-2.5752,0.3760,0.0000,0.0000,1.8300
1.7600,5.0000,4.7200,3.1416,-2.5835,0.3780,0.0000,0.0000,1.8300
1.7800,5.0000,4.6600,3.1416,-2.5918,0.3800,0.0000,0.0000,1.8300
1.8000,5.0000,4.6000,3.1416,-2.6001,0.3821,0.0000,0.0000,1.8300
1.8200,5.0000,4.5400,3.1416,-2.6086,0.3841,0.0000,0.0000,1.8300
1.8400,5.0000,4.4800,3.1416,-2.6171,0.3862,0.0000,0.0000,1.8300
1.8600,5.0000,4.4200,3.1416,-2.6258,0.3882,0.0000,0.0000,1.8300
1.8800,5.0000,4.3600,3.1416,-2.6345,0.3902,0.0000,0.0000,1.8300
1.9000,5.0000,4.3000,3.1416,-2.6432,0.3922,0.0000,0.0000,1.8300
